last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	midterm	final	total	grade
1231	9	15	20	20	20	19	20	20	20	98.79%	91	93	94.92	3.9
1268	10	15	16	18	16	11	9	12	20	76.97%	39	66	64.99	1.1
1286	10	15	17	20	19	20	17	18	20	94.55%	95	91	93.22	3.7
1293	9	15	20	19	19	0	0	16	20	71.52%	63	40	57.21	0
1306	9	15	20	19	20	16	0	18	20	83.03%	77	68	75.81	2.2
1312	10	15	20	18	19	20	20	19	20	97.58%	93	99	97.23	4
1379	4	14	20	18	20	18	10	18	20	86.06%	97	98	93.02	3.7
1388	10	13	20	16	19	18	19	19	20	93.33%	88	92	91.73	3.6
1402	9	14	20	20	20	19	20	18	20	96.97%	93	95	95.39	3.9
1442	7	15	19	19	19	0	20	 	20	72.12%	78	51	64.85	1.1
1471	10	15	20	19	19	 	20	18	20	85.45%	78	66	76.18	2.2
1471	9	15	16	19	18	17	20	18	20	92.12%	89	84	88.25	3.3
1478	10	14	19	19	17	17	19	19	20	93.33%	91	85	89.53	3.5
1489	9	15	20	19	16	18	17	18	20	92.12%	77	68	79.45	2.5
1501	9	15	20	19	18	19	19	17	20	94.55%	92	79	87.82	3.3
1557	7	15	20	19	19	20	20	17	20	95.15%	69	65	77.86	2.4
1580	9	15	20	19	19	18	19	16	20	93.94%	80	67	80.38	2.6
1597	9	15	18	19	19	15	15	18	20	89.70%	82	68	79.48	2.5
1598	 	11	13	16	19	18	5	0	15	58.79%	92	80	73.92	2
1612	9	15	18	16	19	18	18	19	20	92.12%	70	82	83.65	2.9
1623	9	15	20	20	18	19	20	19	20	96.97%	84	84	89.19	3.4
1654	9	15	20	19	20	19	19	20	20	97.58%	95	91	94.43	3.8
1655	9	13	20	20	17	17	10	10	20	82.42%	45	40	57.97	0
1683	9	15	18	19	18	19	20	18	20	94.55%	85	93	92.02	3.6
1694	9	15	20	18	19	18	20	19	20	95.76%	87	92	92.50	3.7
1709	9	15	20	20	19	17	20	20	20	96.97%	79	76	84.99	3
1728	9	12	20	19	18	0	 	 	6	50.91%	99	98	79.36	2.5
1729	10	13	20	14	20	 	 	15	20	67.88%	64	36	54.35	0
1747	9	15	20	20	20	20	19	18	20	97.58%	87	89	92.03	3.6
1782	10	15	19	20	18	19	16	18	20	93.94%	91	81	88.18	3.3
1796	9	15	20	20	19	19	19	18	20	96.36%	89	97	95.15	3.9
1812	9	15	17	20	19	19	18	18	20	93.94%	91	79	87.38	3.2
1822	10	14	20	19	20	18	0	14	20	81.82%	62	74	74.73	2.1
1858	9	15	20	20	18	20	20	20	20	98.18%	98	93	96.07	3.9
1866	8	15	20	18	0	0	15	15	20	67.27%	64	46	58.11	0
1882	8	15	20	14	15	15	8	 	15	66.67%	60	90	74.67	2.1
1894	9	15	18	19	17	19	19	18	20	93.33%	92	65	81.73	2.7
1902	10	15	20	20	19	20	18	20	20	98.18%	85	63	81.47	2.7
1935	7	15	20	20	14	18	17	19	20	90.91%	97	94	93.36	3.7
1958	10	14	20	18	18	12	 	18	20	78.79%	73	57	68.92	1.5
2011	8	14	20	19	20	17	20	19	15	92.12%	84	67	80.45	2.6
