last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	new final	total	grade
2452	18	19	19	20	19	15	19	25	 	90.59%	87	73	78	84.84	3.3
3634	12	13	18	19	16	17	18	29	 	83.53%	90	78	83	84.61	3.3
3155	20	18	18	19	16	19	19	30	 	93.53%	71	77	82	84.41	3.3
0109	19	18	16	18	19	20	19	24	 	90.00%	86	73	78	84.40	3.3
3364	19	20	17	19	17	14	20	27	 	90.00%	90	70	75	84.00	3.3
7116	18	19	17	18	17	19	19	27	 	90.59%	83	72	77	83.64	3.2
5200	16	20	20	20	20	20	20	29	 	97.06%	74	70	75	83.62	3.2
2626	19	16	15	16	17	17	20	30	 	88.24%	74	78	83	83.29	3.2
5561	20	20	19	20	19	18	20	29	 	97.06%	68	72	77	83.22	3.2
0392	19	20	18	20	18	19	20	30	 	96.47%	87	63	68	83.19	3.2
1935	15	19	16	18	18	17	19	30	 	89.41%	93	67	72	83.16	3.2
1728	18	18	 	20	19	19	18	27	 	81.76%	86	78	83	83.11	3.2
8822	19	19	19	20	0	19	19	29	 	84.71%	83	76	81	82.88	3.1
5175	18	20	17	19	19	19	19	30	 	94.71%	83	65	70	82.48	3.1
7055	18	16	20	20	18	10	19	30	2	90.00%	80	71	76	82.40	3.1
2814	18	19	19	20	19	19	19	29	 	95.29%	75	68	73	82.32	3.1
4236	20	20	19	20	13	19	19	30	 	94.12%	71	70	75	81.85	3.1
0648	20	18	20	18	13	15	20	20	 	84.71%	82	73	78	81.48	3
1071	13	20	19	19	14	12	17	30	 	84.71%	72	78	83	81.48	3
5131	18	18	19	20	19	18	20	17	 	87.65%	91	65	70	81.26	3
7057	20	17	20	20	20	19	20	29	 	97.06%	76	63	68	81.22	3
1777	20	18	16	16	18	16	20	29	 	90.00%	72	72	77	81.20	3
0211	18	19	20	18	19	20	19	24	 	92.35%	79	66	71	81.14	3
0399	19	17	20	18	18	19	17	27	 	91.18%	82	65	70	80.87	3
1069	20	20	16	20	11	17	19	30	 	90.00%	80	67	72	80.80	3
5577	20	18	17	18	20	19	17	27	 	91.76%	74	68	73	80.71	3
0164	20	19	17	20	15	18	19	27	 	91.18%	68	71	76	80.47	2.9
6974	17	18	19	20	19	18	19	29	 	93.53%	75	65	70	80.41	2.9
0960	16	18	18	20	20	18	19	28	 	92.35%	63	72	77	80.34	2.9
1186	12	17	17	16	20	17	19	28	 	85.88%	67	76	81	80.15	2.9
1491	16	16	16	20	16	17	18	30	 	87.65%	91	62	67	80.06	2.9
0049	20	20	16	19	18	19	19	28	 	93.53%	73	65	70	80.01	2.9
7162	20	18	14	19	20	19	19	29	 	92.94%	73	65	70	79.78	2.9
6313	18	19	20	19	19	18	19	29	 	94.71%	76	61	66	79.48	2.8
2107	19	19	19	19	20	20	20	30	 	97.65%	52	70	75	79.46	2.8
2483	19	18	20	18	16	16	16	24	 	86.47%	73	70	75	79.19	2.8
0916	18	20	20	20	17	15	17	29	 	91.76%	88	57	62	79.11	2.8
1622	17	20	19	20	18	16	19	23	 	89.41%	74	66	71	78.96	2.8
3574	20	17	20	20	19	20	19	28	 	95.88%	77	58	63	78.95	2.8
1318	20	15	17	17	20	20	18	30	 	92.35%	64	67	72	78.54	2.7
1262	19	18	13	17	19	17	20	27	 	88.24%	78	64	69	78.49	2.7
0860	15	17	20	16	20	20	17	23	 	87.06%	74	67	72	78.42	2.7
5655	20	18	19	18	 	 	17	29	 	71.18%	77	81	86	78.27	2.7
9165	17	16	19	20	18	18	19	16	 	84.12%	83	65	70	78.25	2.7
3279	20	19	18	20	18	20	20	30	 	97.06%	65	61	66	78.22	2.7
4822	13	15	16	17	20	15	20	29	 	85.29%	56	77	82	78.12	2.7
3814	19	18	19	20	18	20	19	29	 	95.29%	54	68	73	78.12	2.7
1874	20	16	16	20	19	19	17	29	 	91.76%	71	63	68	78.11	2.7
1858	20	20	18	19	13	19	13	28	 	88.24%	62	71	76	78.09	2.7
7292	10	19	14	16	2	15	19	27	 	71.76%	91	72	77	77.71	2.6
1538	20	17	19	20	15	17	20	27	 	91.18%	74	61	66	77.67	2.6
1636	17	15	17	20	20	8	19	29	2	86.47%	65	70	75	77.59	2.6
9294	20	17	20	17	19	19	20	30	 	95.29%	67	60	65	77.52	2.6
8856	20	18	18	20	0	15	19	29	 	81.76%	82	66	71	77.51	2.6
2242	17	18	19	19	19	16	20	28	 	91.76%	62	66	71	77.51	2.6
8103	19	19	17	20	19	20	19	28	 	94.71%	76	56	61	77.48	2.6
