last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	total	grade
6829	20	16	19	18	19	12	16	26	 	85.88%	77	85	83.75	3.2
7243	19	18	18	17	19	16	20	28	2	92.35%	77	78	83.54	3.2
0234	18	18	15	19	15	12	16	27	 	82.35%	89	81	83.14	3.1
6406	19	12	19	16	18	19	18	29	 	88.24%	83	78	83.09	3.1
0828	20	19	18	19	18	17	17	30	 	92.94%	87	71	82.98	3.1
2896	19	19	20	19	20	18	20	30	 	97.06%	71	74	82.62	3.1
2314	16	16	14	14	18	16	18	29	 	82.94%	83	82	82.58	3.1
3179	19	17	16	18	20	17	20	28	 	91.18%	92	69	82.47	3.1
7377	20	18	18	18	19	18	18	27	 	91.76%	82	73	82.31	3.1
5787	14	17	19	16	14	16	19	28	 	84.12%	90	76	82.05	3.0
7941	19	18	18	16	19	17	13	26	 	85.88%	84	77	81.95	3.0
4663	20	20	18	20	18	19	20	29	 	96.47%	78	69	81.79	3.0
0933	18	19	19	20	19	19	20	29	 	95.88%	81	68	81.75	3.0
3717	16	20	19	19	19	14	20	27	2	91.76%	79	72	81.31	3.0
1824	20	18	18	16	 	 	17	17	 	62.35%	90	95	80.94	2.9
8350	19	18	17	19	18	14	20	28	 	90.00%	80	72	80.80	2.9
0678	19	17	16	19	19	17	19	30	 	91.76%	76	72	80.71	2.9
8616	16	19	18	17	20	19	19	26	 	90.59%	62	80	80.64	2.9
1448	20	15	19	17	17	20	20	29	 	92.35%	73	72	80.34	2.9
4146	19	17	17	20	19	19	19	27	 	92.35%	71	73	80.34	2.9
8604	18	19	17	19	15	16	18	27	 	87.65%	86	70	80.26	2.9
2384	14	18	16	15	17	17	13	27	 	80.59%	82	78	79.84	2.8
4804	16	19	18	16	15	18	16	28	 	85.88%	75	76	79.75	2.8
0600	19	18	18	19	17	17	17	26	 	88.82%	85	68	79.73	2.8
0520	18	16	16	14	20	13	18	27	 	83.53%	84	73	79.41	2.8
5661	19	20	19	19	17	18	20	26	 	92.94%	61	75	79.38	2.8
9528	20	13	15	18	18	16	19	29	 	87.06%	55	83	79.02	2.8
0919	20	16	19	17	19	18	20	30	 	93.53%	73	67	78.81	2.7
0068	18	16	20	19	19	18	19	29	 	92.94%	72	68	78.78	2.7
4005	20	19	17	17	14	5	19	22	 	78.24%	87	75	78.69	2.7
6837	19	17	19	19	19	19	16	27	 	91.18%	81	65	78.67	2.7
0779	19	13	18	18	17	17	19	29	 	88.24%	87	63	77.89	2.7
4393	19	17	20	19	18	19	19	29	 	94.12%	74	63	77.65	2.6
0836	20	18	18	18	19	18	18	28	 	92.35%	79	62	77.54	2.6
6618	18	14	14	13	 	13	0	28	 	58.82%	94	88	77.53	2.6
7150	18	17	19	19	19	19	18	30	 	93.53%	84	58	77.41	2.6
2087	18	16	19	17	18	18	18	29	 	90.00%	79	64	77.40	2.6
9767	20	18	20	20	19	20	17	28	 	95.29%	84	56	77.32	2.6
5273	20	18	17	17	16	16	19	13	 	80.00%	66	80	77.20	2.6
1615	15	19	19	16	18	13	17	29	 	85.88%	84	65	77.15	2.6
8141	20	18	18	18	18	17	20	27	 	91.76%	63	69	76.91	2.6
8237	16	18	13	16	18	16	17	23	 	80.59%	79	72	76.84	2.6
1673	18	15	13	18	17	13	15	27	 	80.00%	67	78	76.60	2.5
2464	19	16	18	19	19	16	17	28	 	89.41%	74	65	76.56	2.5
2314	12	17	18	18	15	20	14	28	 	83.53%	74	70	76.21	2.5
7424	19	15	14	18	17	17	18	28	 	85.88%	87	60	75.75	2.5
8545	17	15	16	19	16	19	12	26	 	82.35%	74	70	75.74	2.5
6471	18	16	19	18	20	15	20	30	 	91.76%	77	59	75.71	2.5
0438	20	19	18	18	17	19	19	27	 	92.35%	68	61	74.94	2.4
2634	12	12	8	16	18	16	18	27	 	74.71%	68	78	74.68	2.4
2352	18	16	19	18	18	17	17	29	 	89.41%	58	67	74.16	2.4
2205	19	18	14	17	14	15	18	26	 	82.94%	83	60	73.78	2.3
6609	17	17	16	18	19	14	19	25	 	85.29%	48	75	73.72	2.3
9225	20	17	18	17	17	18	15	30	 	89.41%	95	47	73.56	2.3
1538	16	15	17	18	14	16	19	28	 	84.12%	65	67	73.45	2.3
1665	19	17	19	18	19	20	20	30	 	95.29%	63	56	73.12	2.3
3709	19	17	18	19	18	18	11	27	 	86.47%	78	57	72.99	2.2
2368	18	19	17	16	14	16	19	27	 	85.88%	65	64	72.95	2.2
3353	7	10	16	17	20	18	18	18	 	72.94%	80	69	72.78	2.2
9530	 	16	9	16	17	17	18	28	 	71.18%	78	71	72.47	2.2
4235	20	18	19	16	19	18	11	26	 	86.47%	77	56	72.39	2.2
1935	17	16	15	16	14	18	14	25	 	79.41%	79	62	72.36	2.2
0012	18	19	18	16	15	15	12	26	 	81.76%	68	65	72.31	2.2
1409	17	16	14	18	17	16	17	25	 	82.35%	66	65	72.14	2.2
0831	20	19	16	16	17	18	20	25	 	88.82%	80	51	71.93	2.1
3595	20	15	18	17	15	19	18	23	 	85.29%	67	61	71.92	2.1
2468	19	19	20	18	 	17	19	19	 	77.06%	73	66	71.82	2.1
8051	17	14	17	17	19	18	19	29	 	88.24%	53	64	71.49	2.1
9774	18	17	18	16	20	18	17	29	 	90.00%	69	53	71.00	2.1
0392	6	18	18	20	19	16	20	21	 	81.18%	64	64	70.87	2.0
3539	17	13	17	18	18	20	19	10	 	77.65%	73	63	70.86	2.0
4522	19	19	18	17	19	19	19	30	 	94.12%	60	53	70.85	2.0
8623	15	15	8	6	17	18	19	21	 	70.00%	76	69	70.80	2.0
3457	19	17	15	15	19	17	11	21	 	78.82%	88	54	70.73	2.0
8591	18	16	18	18	15	19	18	28	 	88.24%	63	57	70.69	2.0
8418	18	16	18	16	19	18	20	28	 	90.00%	85	44	70.60	2.0
4696	20	20	16	20	15	5	10	17	 	72.35%	59	74	70.34	2.0
1726	19	17	19	20	17	18	19	27	 	91.76%	56	56	70.31	2.0
7244	18	12	15	17	19	13	20	26	 	82.35%	74	56	70.14	2.0
2746	19	17	17	12	15	19	18	28	 	85.29%	59	60	69.92	2.0
1415	16	20	12	16	8	14	19	28	 	78.24%	65	63	69.49	1.9
8547	14	16	14	17	17	16	19	26	 	81.76%	41	71	69.31	1.9
1204	18	16	19	16	18	14	15	23	 	81.76%	74	54	69.11	1.9
6207	18	19	15	 	19	12	18	25	 	74.12%	81	57	68.65	1.9
1225	13	14	14	16	 	17	17	22	 	66.47%	69	69	67.99	1.8
1499	19	17	19	13	14	14	17	27	 	82.35%	78	48	67.74	1.8
0719	18	16	17	17	 	 	17	18	 	60.59%	90	63	67.44	1.8
6494	19	17	 	16	15	17	17	29	 	76.47%	34	75	67.39	1.8
1203	18	12	18	14	17	14	11	11	 	67.65%	68	65	66.66	1.7
8242	20	15	19	16	20	6	19	27	 	83.53%	54	56	66.61	1.7
9222	20	16	14	13	18	15	20	 	 	68.24%	89	52	65.89	1.6
9367	18	18	18	18	20	19	17	26	 	90.59%	42	52	65.44	1.5
0743	20	18	17	12	11	7	9	8	 	60.00%	83	62	65.40	1.5
3708	14	17	19	19	19	16	16	17	 	80.59%	73	46	65.24	1.5
7183	17	17	17	20	19	19	20	29	 	92.94%	50	45	65.18	1.5
1582	19	18	19	19	18	18	20	19	 	88.24%	60	42	64.09	1.4
8516	19	12	15	13	16	7	19	29	 	76.47%	62	52	63.79	1.4
8597	12	15	15	14	8	18	16	24	 	71.76%	63	55	63.31	1.3
7114	19	19	18	17	19	17	17	28	 	90.59%	37	49	63.24	1.3
5858	16	18	16	18	17	17	18	26	 	85.88%	49	45	62.15	1.2
8269	17	14	16	16	18	 	17	11	 	64.12%	48	67	62.05	1.2
6733	18	18	15	16	16	5	14	25	 	74.71%	70	43	61.08	1.1
0300	16	18	16	14	19	16	15	28	 	83.53%	64	35	60.21	1.0
8151	14	13	17	15	15	20	5	21	 	70.59%	40	56	58.64	0.9
9500	17	13	16	17	16	15	14	5	 	66.47%	47	56	58.39	0.9
1301	6	18	20	19	13	7	20	16	 	70.00%	55	48	58.20	0.9
8757	16	15	17	18	 	 	 	14	 	47.06%	66	63	57.22	0.7
6477	15	18	20	6	18	14	17	26	 	78.82%	47	36	55.33	0.0
2282	13	16	8	8	11	12	10	21	 	58.24%	54	52	54.89	0.0
1057	19	15	14	19	18	14	 	13	 	65.88%	44	45	53.15	0.0
6314	20	19	17	16	16	16	15	6	 	73.53%	48	34	52.61	0.0
5522	20	11	 	15	19	4	 	 	 	40.59%	65	56	51.64	0.0
8379	13	14	14	14	 	 	 	 	 	32.35%	71	58	50.34	0.0
3044	 	15	16	17	 	 	 	10	 	34.12%	50	58	46.85	0.0
2271	12	11	10	13	10	5	6	2	 	40.59%	68	42	46.64	0.0
1253	18	14	12	17	7	 	 	 	 	40.00%	54	42	43.60	0.0
2286	19	15	9	12	 	 	 	 	 	32.35%	62	39	40.94	0.0
2595	13	14	8	7	 	11	11	10	 	43.53%	17	30	32.81	0.0
2251	19	12	5	17	 	 	 	 	 	31.18%	46	23	30.87	0.0
2353	 	14	 	 	 	 	 	 	 	8.24%	18	50	26.89	0.0
0261	9	6	3	2	2	 	 	 	 	12.94%	41	32	26.18	0.0
1868	15	14	 	13	 	 	 	 	 	24.71%	45	 	18.88	0.0
4017	18	17	16	 	 	 	 	 	 	30.00%	33	 	18.60	0.0
9175	17	17	14	 	 	 	 	 	 	28.24%	 	 	11.29	0.0
7684	6	 	 	 	 	 	 	 	 	3.53%	33	4	9.61	0.0
3776	 	 	 	 	 	 	 	 	 	0.00%	 	 	0.00	0.0

mean	17.9	16.9	17.3	17.3	17.7	16.8	17.8	26.2	2.0	82.90%	75.9	71.7	76.3	2.6
median	19	17	18	18	18	18	19	28	2	89.41%	79	74	79.8	2.8
