last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new midterm	final	total	grade
5370	7	17	7	20	13	12	11	10	 	57.06%	17	23	35	41.42	0
8466	8	7	7	9	10	3	6	5	 	32.35%	46	52	38	38.54	0
0354	20	18	18	19	15	14	 	 	 	61.18%	64	70	 	38.47	0
7256	11	5	7	14	6	 	7	5	 	32.35%	52	58	33	37.74	0
9340	18	17	16	19	16	 	 	 	 	50.59%	72	78	 	35.84	0
1785	18	16	12	 	 	 	 	 	 	27.06%	43	49	33	33.82	0
0192	 	10	 	15	 	8	 	 	 	19.41%	27	33	46	32.76	0
4005	16	18	 	17	9	 	 	9	 	40.59%	52	58	 	27.84	0
0233	18	15	17	13	 	 	 	 	 	37.06%	51	57	 	26.22	0
1057	 	15	16	16	15	 	 	 	 	36.47%	27	33	 	21.19	0
1857	6	5	 	5	 	 	 	 	 	9.41%	47	53	15	20.36	0
3435	16	16	 	 	 	 	 	 	 	18.82%	 	6	 	8.73	0
1023	 	18	 	 	 	 	 	 	 	10.59%	 	6	 	5.44	0
1573	 	 	 	 	 	 	 	 	 	0.00%	 	6	 	1.20	0
5756	 	 	 	 	 	 	 	 	 	0.00%	 	6	 	1.20	0
0204	 	 	 	 	 	 	 	 	 	0.00%	 	6	 	1.20	0

mean	17.1	16.9	16.7	17.9	17.1	15.4	17.4	24.4	2.0	79.30%	68.6	72.9	74.9	74.85	2.3
median	18	18	18	19	18	17	18	28	2	87.35%	72	75.5	79	79.95	2.6
