last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	Assign9	attendance	homework %	Midterm	Final	total	grade
9698	9	14	20	19	15	10	10	 	0	20	63.24%	58	 	36.90	0.0
7498	6	0	20	0	11	18	3	 	 	20	42.16%	47	26	36.66	0.0
4094	9	15	 	19	17	 	13	8	 	20	54.59%	73	 	36.44	0.0
2053	9	0	0	15	14	18	7	7	 	15	45.95%	30	26	34.78	0.0
7318	9	15	 	 	 	 	 	 	10	20	29.19%	40	28	30.88	0.0
0947	7	15	15	18	 	 	 	 	 	18	39.46%	74	 	30.58	0.0
1882	7	13	14	19	17	 	 	 	 	15	45.95%	53	 	28.98	0.0
0098	9	 	 	 	 	20	 	 	 	9	20.54%	31	34	28.02	0.0
2922	9	15	18	19	19	 	 	 	 	15	51.35%	 	 	20.54	0.0
6835	9	15	0	7	6	 	 	 	 	15	28.11%	46	 	20.44	0.0
7753	8	14	19	 	 	 	 	 	 	18	31.89%	19	 	16.56	0.0
1338	0	0	0	0	0	 	 	 	 	12	6.49%	64	 	15.39	0.0
1789	5	15	3	 	 	 	 	 	 	12	18.92%	38	 	15.17	0.0
6286	9	 	 	 	 	 	 	 	 	20	15.68%	43	 	14.87	0.0
2557	 	 	 	 	 	 	 	 	 	9	4.86%	17	22	14.15	0.0
9384	9	 	 	 	 	 	 	 	 	15	12.97%	25	 	10.19	0.0
1842	9	 	 	 	 	 	 	 	 	3	6.49%	 	 	2.59	0.0
4073	 	 	 	 	 	 	 	 	 	0	0.00%	 	 	0.00	0.0

mean	8.4	14.5	18.5	17.9	17.9	19.2	17.1	18.1	17.3	19.0	86.11%	80.2	73.3	78.59	2.54
median	9	15	20	19	18	20	19	20	18	20	93.51%	84.0	79.0	84.07	3.00
