last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	explore	weekly %	midterm	final	new final	total	grade
0511	17	20	17	14	18	20	15	20	 	0	82.94%	67	47	57	69.38	1.7
2263	13	19	17	16	16	18	13	29	 	0	82.94%	55	53	63	69.38	1.7
9937	19	19	16	17	16	14	15	21	 	0	80.59%	69	48	58	69.24	1.7
0502	18	13	5	18	17	18	15	27	 	0	77.06%	58	57	67	69.22	1.7
0356	19	16	19	14	16	16	19	27	 	0	85.88%	64	45	55	69.15	1.7
3755	18	10	11	13	18	16	14	25	 	0	73.53%	80	49	59	69.01	1.7
5921	18	8	11	13	13	8	15	8	 	0	55.29%	76	69	79	68.92	1.7
6278	11	17	18	14	19	14	18	27	 	0	81.18%	62	50	60	68.87	1.7
8693	19	14	19	19	18	7	18	23	 	0	80.59%	61	51	61	68.84	1.7
4230	17	18	19	17	19	16	19	20	 	0	85.29%	49	52	62	68.72	1.7
9705	19	19	14	20	11	3	19	13	 	0	69.41%	75	54	64	68.36	1.6
8524	19	19	18	18	17	18	16	19	 	0	84.71%	50	50	60	67.88	1.6
1867	16	15	19	16	8	13	15	23	 	0	73.53%	69	51	61	67.61	1.6
9927	19	16	16	18	15	16	17	25	 	0	83.53%	53	49	59	67.61	1.6
6674	18	16	7	15	17	15	19	24	 	0	77.06%	57	53	63	67.42	1.5
4425	18	18	15	16	15	13	12	25	 	0	77.65%	65	48	58	67.26	1.5
5114	18	11	15	15	18	16	16	26	 	0	79.41%	48	54	64	66.96	1.5
3746	12	9	10	14	13	15	14	25	 	0	65.88%	64	59	69	66.75	1.5
7534	17	15	13	13	15	19	20	26	 	0	81.18%	63	44	54	66.67	1.5
2320	13	12	14	19	14	11	18	12	 	0	66.47%	60	59	69	66.19	1.4
4802	20	14	6	14	18	17	16	8	 	0	66.47%	70	54	64	66.19	1.4
0428	16	12	16	17	15	19	19	27	 	0	82.94%	48	48	58	65.98	1.4
9051	17	14	11	16	17	14	17	 	 	0	62.35%	87	48	58	65.54	1.4
0225	15	15	14	18	6	11	12	16	 	0	62.94%	67	57	67	65.38	1.3
1145	13	19	11	15	14	9	13	19	 	0	66.47%	79	47	57	65.19	1.3
1752	19	15	10	20	19	13	5	27	 	0	75.29%	55	48	58	64.32	1.2
5224	15	16	18	18	15	16	14	25	 	0	80.59%	46	45	55	63.44	1.1
3006	16	17	15	13	17	1	18	20	 	0	68.82%	53	53	63	63.33	1.1
2107	17	13	9	17	16	10	18	27	 	1	74.90%	54	46	56	63.16	1.1
8483	19	19	18	14	18	17	12	6	 	0	72.35%	62	44	54	62.94	1.1
1410	17	13	11	9	8	7	12	16	 	0	54.71%	67	59	69	62.88	1.1
8069	15	16	10	16	 	12	3	13	 	0	50.00%	47	73	83	62.60	1.1
6234	17	15	11	17	12	14	11	24	 	0	71.18%	51	46	56	61.07	0.9
4596	18	9	7	14	17	17	18	7	 	0	62.94%	61	48	58	60.58	0.9
0234	19	16	17	11	13	14	7	5	 	0	60.00%	53	54	64	60.20	0.8
