last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
5978	18	10	12	16	19	14	12	24	 	4	73.53%	48	61	65	67.61	1.8
4141	18	15	14	15	16	16	18	24	 	5	80.00%	56	69	53	67.00	1.7
5267	20	17	15	19	16	14	18	16	 	4	79.41%	54	67	53	66.36	1.6
8814	17	12	15	18	17	19	20	28	 	1	85.88%	35	48	56	66.35	1.6
9568	19	12	16	16	20	15	15	26	 	 	81.76%	63	76	46	66.31	1.6
8567	18	13	9	14	16	15	14	23	 	2	71.76%	61	74	57	66.31	1.6
1367	18	8	7	19	17	20	19	27	 	4	79.41%	27	40	66	66.16	1.6
0062	10	12	10	16	11	15	15	28	 	5	68.82%	48	61	65	65.73	1.6
2474	9	18	0	0	12	9	15	24	 	 	51.18%	72	85	70	65.47	1.5
0938	17	8	10	15	16	16	16	19	 	4	68.82%	66	79	55	65.33	1.5
7758	16	19	14	14	15	16	15	 	 	 	64.12%	63	76	61	65.25	1.5
0815	18	14	17	19	19	5	18	20	 	5	76.47%	78	91	41	65.19	1.5
8116	19	17	15	16	16	16	8	24	 	3	77.06%	51	64	53	64.82	1.5
4911	19	18	16	17	17	16	13	26	 	 	83.53%	52	65	46	64.81	1.5
6365	19	15	18	18	16	17	14	5	 	5	71.76%	63	76	52	64.71	1.5
1710	7	 	17	17	18	13	18	26	 	2	68.24%	36	49	69	64.69	1.5
9563	11	15	12	19	14	16	18	 	 	5	61.76%	67	80	58	63.91	1.4
2872	7	15	16	15	18	17	18	9	 	5	67.65%	60	73	55	63.66	1.4
0577	11	16	18	18	9	9	7	8	 	5	56.47%	68	81	62	63.59	1.4
8833	18	14	15	17	17	16	18	11	 	 	74.12%	50	63	52	63.05	1.3
9020	20	20	12	 	19	17	16	25	 	 	75.88%	50	63	50	62.95	1.3
0910	11	14	13	12	 	 	 	 	 	5	29.41%	58	71	92	62.76	1.3
0274	17	19	12	16	17	12	17	 	 	5	64.71%	53	66	59	62.68	1.3
9007	18	12	10	17	13	15	16	16	 	5	68.82%	52	65	55	62.53	1.3
8292	19	13	0	18	0	16	14	22	 	5	60.00%	55	68	62	62.40	1.2
8199	16	15	14	14	8	17	8	25	 	5	68.82%	46	59	57	62.13	1.2
1278	14	14	13	15	15	8	12	 	 	5	53.53%	50	63	70	62.01	1.2
5000	15	12	15	17	16	12	9	23	 	3	70.00%	43	56	57	62.00	1.2
9407	16	14	18	17	0	19	13	17	 	3	67.06%	61	74	49	61.22	1.1
6919	10	14	6	15	12	6	10	11	 	5	49.41%	69	82	61	60.56	1.1
9587	19	13	12	15	14	15	16	27	 	 	77.06%	50	63	42	60.22	1
5091	12	8	8	19	0	12	13	13	 	5	50.00%	63	76	61	59.60	1
7980	18	10	6	19	16	18	 	27	 	1	67.06%	56	69	47	59.42	0.9
0067	17	10	15	14	18	16	16	25	 	1	77.06%	52	65	38	59.02	0.9
7660	16	15	16	16	13	7	5	14	 	5	60.00%	43	56	59	58.80	0.9
3948	18	19	18	15	 	 	 	 	 	 	41.18%	89	102	52	57.67	0.8
2791	20	16	15	18	15	14	 	5	 	5	60.59%	48	61	51	56.84	0.7
6671	18	17	19	17	0	 	2	3	 	5	44.71%	61	74	54	54.28	0.7
5557	12	12	8	16	11	12	12	19	 	5	60.00%	38	51	45	52.20	0
2349	18	19	16	15	17	18	8	7	 	5	69.41%	34	47	35	51.16	0
4770	18	14	17	16	18	 	15	 	 	1	57.65%	29	42	43	48.66	0
9340	 	 	 	 	 	14	10	22	2	 	28.24%	 	 	86	45.69	0
5074	7	18	14	19	 	 	 	 	 	5	34.12%	56	69	39	43.05	0
1715	16	19	17	20	16	19	 	 	 	 	62.94%	50	63	12	42.58	0
3042	13	 	5	16	5	 	 	 	 	4	22.94%	48	61	49	40.98	0
