last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	new fin	total	grade
0382	19	17	18	20	18	16	12	15	 	79.41%	87	91	81	85	83.96	3.3
9655	17	18	17	18	20	20	20	28	2	94.12%	81	85	69	73	83.85	3.3
4264	19	16	19	17	20	16	13	30	 	88.24%	92	96	69	73	83.69	3.3
9530	20	13	16	19	18	20	17	28	 	88.82%	84	88	72	76	83.53	3.3
0413	20	16	19	18	20	17	20	29	 	93.53%	54	58	82	86	83.41	3.2
8591	19	16	16	18	19	18	18	29	 	90.00%	79	83	73	77	83.40	3.2
0412	20	19	20	20	19	16	20	29	 	95.88%	86	90	62	66	82.75	3.2
0744	20	19	19	19	20	16	19	30	 	95.29%	83	87	64	68	82.72	3.2
5330	20	17	18	19	19	17	20	25	 	91.18%	77	81	71	75	82.67	3.2
1823	19	16	16	18	19	17	20	29	 	90.59%	78	82	71	75	82.64	3.2
3036	11	15	16	15	18	18	20	29	 	83.53%	84	88	75	79	82.61	3.2
8634	19	19	15	20	17	11	19	30	 	88.24%	84	88	70	74	82.49	3.1
2610	20	19	18	19	18	19	20	28	 	94.71%	77	81	67	71	82.48	3.1
4083	20	17	19	20	20	15	20	27	2	94.12%	72	76	70	74	82.45	3.1
0910	20	17	18	19	19	17	18	23	 	88.82%	76	80	73	77	82.33	3.1
0175	19	16	18	18	20	17	18	29	 	91.18%	65	69	76	80	82.27	3.1
0326	14	13	20	17	18	15	19	27	 	84.12%	74	78	78	82	82.05	3.1
5493	19	16	17	19	20	17	19	29	 	91.76%	84	88	65	69	81.91	3.1
9694	20	16	14	17	17	15	18	26	 	84.12%	66	70	81	85	81.65	3.1
6771	19	14	19	20	18	18	19	30	 	92.35%	73	77	69	73	81.54	3.1
4333	20	16	15	15	17	13	19	29	 	84.71%	82	86	72	76	81.48	3
0063	19	17	16	18	12	19	19	28	 	87.06%	83	87	69	73	81.42	3
2775	18	16	18	19	19	16	18	25	 	87.65%	87	91	66	70	81.26	3
0533	18	15	10	20	19	18	19	21	 	82.35%	71	75	79	83	81.14	3
0370	18	16	18	15	19	16	16	27	 	85.29%	81	85	71	75	81.12	3
9461	18	14	19	16	18	16	19	19	 	81.76%	74	78	78	82	81.11	3
9496	19	17	18	18	19	18	18	28	 	91.18%	78	82	66	70	80.87	3
0886	20	11	16	20	19	19	20	28	 	90.00%	91	95	60	64	80.60	3
4017	19	19	20	18	17	6	20	27	 	85.88%	69	73	75	79	80.55	3
1792	16	13	13	19	15	19	14	30	 	81.76%	91	95	68	72	80.51	3
3906	19	19	14	18	19	16	17	29	2	90.00%	86	90	62	66	80.40	2.9
4336	18	18	18	16	16	 	18	26	 	76.47%	65	69	86	90	80.39	2.9
1299	20	16	18	20	11	17	20	16	 	81.18%	92	96	67	71	80.07	2.9
3466	16	14	12	17	12	17	20	29	 	80.59%	88	92	69	73	79.84	2.9
8854	19	17	20	19	18	17	20	29	 	93.53%	68	72	66	70	79.81	2.9
7334	19	18	10	16	17	14	18	28	 	82.35%	80	84	71	75	79.74	2.9
9703	20	18	18	20	18	20	19	29	 	95.29%	52	56	72	76	79.72	2.9
0044	20	17	16	17	19	17	18	26	 	88.24%	70	74	69	73	79.29	2.8
0592	18	17	15	19	20	14	20	30	 	90.00%	68	72	68	72	79.20	2.8
2056	19	19	19	19	20	17	18	27	 	92.94%	66	70	66	70	79.18	2.8
2012	17	18	18	20	15	17	19	27	 	88.82%	70	74	68	72	79.13	2.8
6780	17	15	17	20	16	17	15	30	 	86.47%	64	68	73	77	78.99	2.8
0074	17	15	8	14	18	16	18	30	 	80.00%	62	66	80	84	78.80	2.8
1023	19	18	19	11	18	15	17	29	 	85.88%	82	86	64	68	78.75	2.8
3342	18	15	19	15	18	15	16	25	 	82.94%	86	90	64	68	78.38	2.7
1334	16	12	19	17	16	18	18	30	 	85.88%	68	72	70	74	78.35	2.7
2472	19	18	17	17	19	17	20	28	 	91.18%	62	66	67	71	78.07	2.7
5587	18	15	18	18	20	20	20	29	 	92.94%	55	59	68	72	77.78	2.7
1219	20	16	17	20	18	15	17	27	 	88.24%	64	68	68	72	77.69	2.7
2754	19	17	19	17	18	15	16	28	 	87.65%	65	69	68	72	77.66	2.7
1886	18	17	18	19	17	13	18	28	 	87.06%	72	76	64	68	77.22	2.6
1848	18	19	20	18	20	17	19	28	 	93.53%	50	54	68	72	77.01	2.6
0507	17	15	18	18	11	16	16	27	 	81.18%	65	69	72	76	76.67	2.6
0637	16	10	14	15	17	15	16	29	 	77.65%	58	62	79	83	76.66	2.6
8208	20	15	16	18	19	18	20	27	 	90.00%	61	65	65	69	76.60	2.6
7574	19	20	19	18	17	15	16	28	 	89.41%	49	53	71	75	76.36	2.5
3911	20	18	19	18	19	19	20	 	 	78.24%	81	85	66	70	76.29	2.5
5936	18	14	15	19	15	17	18	10	 	74.12%	71	75	75	79	76.25	2.5
0926	18	14	18	18	12	19	18	26	 	84.12%	57	61	72	76	76.25	2.5
2711	18	15	19	20	18	18	17	28	 	90.00%	78	82	55	59	76.00	2.5
8242	20	13	18	20	20	16	18	24	 	87.65%	60	64	65	69	75.46	2.4
2096	19	16	14	18	16	19	17	27	 	85.88%	63	67	65	69	75.35	2.4
7831	19	4	17	16	14	17	20	27	 	78.82%	49	53	79	83	75.33	2.4
7835	13	13	14	14	19	14	17	28	 	77.65%	67	71	71	75	75.26	2.4
1881	18	9	15	 	18	20	18	28	 	74.12%	77	81	69	73	75.05	2.4
4765	20	13	18	19	19	16	18	25	 	87.06%	63	67	63	67	75.02	2.4
6497	19	16	19	19	16	15	18	22	 	84.71%	75	79	59	63	74.88	2.4
3525	19	13	18	19	20	15	19	26	 	87.65%	55	59	66	70	74.86	2.4
3996	18	8	13	13	14	4	16	16	 	60.00%	82	86	79	83	74.40	2.3
1855	13	18	4	15	18	15	20	27	 	76.47%	75	79	66	70	74.39	2.3
8242	18	19	17	17	20	14	12	26	 	84.12%	67	71	62	66	74.25	2.3
3283	20	14	11	15	17	16	15	26	 	78.82%	64	68	68	72	73.93	2.3
4865	16	17	17	19	14	13	17	26	 	81.76%	64	68	65	69	73.91	2.3
4870	20	16	14	19	17	19	20	30	 	91.18%	57	61	59	63	73.87	2.3
6427	19	10	17	20	18	10	 	27	 	71.18%	71	75	72	76	73.87	2.3
0101	18	20	16	20	20	13	20	16	 	84.12%	55	59	65	69	73.05	2.2
1044	10	13	5	17	15	11	19	24	 	67.06%	67	71	76	80	73.02	2.2
6791	9	15	13	17	13	17	14	14	 	65.88%	85	89	68	72	72.95	2.2
2766	16	13	17	16	19	18	17	27	 	84.12%	82	86	51	55	72.85	2.2
0634	17	15	11	15	11	13	16	22	 	70.59%	62	66	74	78	72.64	2.2
6566	20	13	13	17	16	15	20	27	 	82.94%	62	66	61	65	72.38	2.1
8299	18	13	13	18	14	19	19	29	 	84.12%	53	57	64	68	72.25	2.1
0537	17	19	15	17	18	14	19	29	 	87.06%	51	55	62	66	72.22	2.1
3761	19	12	15	13	16	11	17	28	 	77.06%	69	73	63	67	72.22	2.1
0557	18	18	16	10	11	5	14	23	 	67.65%	73	77	70	74	72.06	2.1
