last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	final	total	grade
9683	17	16	19	20	16	19	18	29	 	5	90.59%	77	85	85.64	3.3
7183	20	19	17	19	17	18	20	28	 	 	92.94%	94	74	85.58	3.3
4039	20	15	16	20	20	17	17	30	0	3	91.18%	85	80	85.47	3.3
3762	17	14	16	18	14	15	17	27	0	5	81.18%	85	90	85.47	3.3
5025	18	16	17	19	19	18	18	28	0	5	90.00%	72	87	85.20	3.3
8757	18	17	17	18	15	18	20	29	 	1	89.41%	84	81	84.96	3.3
9885	18	17	19	17	17	13	18	29	 	2	87.06%	92	79	84.82	3.3
6844	19	17	19	18	19	13	20	30	 	5	91.18%	87	77	84.67	3.3
1598	19	18	17	16	19	16	16	27	 	5	87.06%	80	84	84.42	3.2
2161	19	16	19	18	19	19	20	29	 	3	93.53%	75	80	84.41	3.2
8283	18	18	17	18	20	18	20	28	 	3	92.35%	79	79	84.34	3.2
1346	20	19	18	18	20	19	20	28	 	5	95.29%	87	72	84.32	3.2
2038	19	19	18	20	16	11	16	17	 	1	80.00%	87	87	84.20	3.2
4137	19	14	15	19	20	18	19	29	 	 	90.00%	67	87	84.20	3.2
1358	19	13	16	16	19	14	20	30	 	 	86.47%	70	89	84.19	3.2
2641	18	15	20	18	20	18	20	28	 	1	92.35%	76	80	84.14	3.2
0287	19	12	18	18	19	14	18	30	0	0	87.06%	78	84	84.02	3.2
3153	19	17	15	20	18	14	19	30	0	4	89.41%	83	79	83.96	3.2
0476	20	14	14	16	17	15	18	24	 	3	81.18%	75	91	83.87	3.2
0792	19	17	20	19	16	16	18	29	 	 	90.59%	78	80	83.84	3.2
3301	20	13	17	15	19	19	18	29	 	3	88.24%	84	79	83.69	3.2
8952	19	17	16	18	17	18	20	27	0	2	89.41%	77	81	83.56	3.2
5116	19	13	18	20	18	17	19	28	0	5	89.41%	77	81	83.56	3.2
0366	19	19	14	17	14	18	19	30	 	4	88.24%	87	76	83.09	3.1
9591	18	20	19	16	18	16	18	28	0	0	90.00%	83	76	83.00	3.1
0515	20	16	17	19	19	17	20	28	0	5	91.76%	74	78	82.71	3.1
0242	19	15	16	19	16	19	17	18	 	2	81.76%	90	80	82.71	3.1
3709	17	19	16	18	19	 	18	26	 	2	78.24%	85	86	82.69	3.1
6736	20	19	18	16	19	17	19	27	 	5	91.18%	91	70	82.67	3.1
4781	20	20	19	19	20	20	20	30	2	2	100.00%	77	68	82.60	3.1
2795	20	19	18	16	20	20	19	29	 	3	94.71%	88	67	82.28	3
2352	19	13	19	15	18	15	20	29	 	5	87.06%	89	74	82.22	3
