
last 4 digits of sid	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
5332	18	16	14	14	 	15	15	15	23	 	2	0	76.5%	62	46	61.39	1.4
1730	12	11	7	12	 	13	9	14	27	 	4	0	61.8%	86	48	61.11	1.4
7117	16	17	17	16	 	12	6	18	12	 	5	0	67.1%	73	49	61.02	1.4
3383	17	18	15	18	 	19	12	16	25	 	5	0	82.4%	62	39	60.94	1.4
3795	0	14	9	11	 	14	18	14	24	 	5	0	61.2%	65	58	60.67	1.4
0036	18	11	8	8	 	11	13	11	11	 	5	0	53.5%	77	59	60.41	1.4
9912	19	18	16	12	 	18	4	 	 	 	5	0	51.2%	76	61	60.07	1.3
6367	6	11	9	5	 	18	15	15	24	 	5	0	60.6%	77	51	60.04	1.3
2173	7	15	16	12	 	12	16	10	 	0	5	0	51.8%	75	60	59.71	1.3
4774	18	16	13	9	2	13	18	18	22	 	5	3	76.5%	56	44	59.39	1.3
5588	17	14	6	7	 	13	16	17	8	 	5	0	57.6%	67	55	58.46	1.2
1564	14	18	18	16	 	18	16	20	25	 	5	0	85.3%	41	39	57.92	1.1
0428	14	15	16	11	 	14	16	8	18	 	5	0	65.9%	71	43	57.75	1.1
3814	15	17	10	17	 	6	4	12	14	 	5	0	55.9%	63	56	57.35	1.1
4731	16	15	16	10	 	19	14	16	22	 	5	0	75.3%	54	41	57.32	1.1
2752	14	5	11	4	 	19	17	18	20	 	5	0	63.5%	39	60	57.21	1.1
6438	19	16	17	9	 	18	11	12	5	 	5	0	62.9%	57	50	56.58	1.0
1711	17	16	17	15	 	14	13	17	22	 	5	0	77.1%	66	31	56.42	1.0
5941	12	16	11	8	 	14	5	1	10	 	5	0	45.3%	80	55	56.12	1.0
1273	18	18	16	18	 	19	14	16	17	 	4	0	80.0%	68	26	56.00	1.0
1106	11	11	12	2	 	10	6	5	16	 	5	0	42.9%	62	64	55.18	0.9
9363	18	16	17	7	 	16	4	9	17	 	5	0	61.2%	56	48	54.87	0.9
6634	10	13	17	11	 	6	3	2	14	 	5	0	44.7%	66	59	54.68	0.9
7293	18	17	5	10	 	17	15	6	28	 	5	0	68.2%	50	43	54.49	0.9
3266	15	17	13	13	1	14	11	5	3	 	5	0	54.1%	51	54	53.45	0.8
2338	15	13	16	2	 	14	11	13	28	 	5	0	65.9%	61	36	52.95	0.7
7024	13	13	8	9	 	13	13	10	2	 	5	0	47.6%	69	47	51.66	0.0
9943	19	15	13	10	 	19	8	 	 	 	2	0	49.4%	74	42	51.36	0.0
3999	14	16	17	1	 	17	11	 	3	 	5	0	46.5%	56	53	50.99	0.0
5537	16	16	7	15	 	10	3	16	12	 	5	0	55.9%	27	58	50.95	0.0
5239	19	16	9	9	 	12	8	14	4	 	5	0	53.5%	49	48	50.41	0.0
0959	10	14	7	14	 	 	8	7	7	 	5	0	39.4%	73	48	49.56	0.0
8745	9	 	4	9	 	5	7	14	16	 	0	0	37.6%	70	50	49.06	0.0
8772	16	16	11	14	 	15	11	11	 	 	5	0	55.3%	45	44	48.72	0.0
7976	17	13	17	17	 	19	 	18	1	 	5	0	60.0%	53	30	46.60	0.0
1263	18	11	13	8	 	19	 	15	10	 	5	0	55.3%	48	37	46.52	0.0
0374	19	18	17	17	 	 	 	 	 	 	5	0	41.8%	82	33	46.31	0.0
5277	17	13	12	13	 	13	2	 	 	 	5	0	41.2%	65	40	45.47	0.0
2130	15	 	16	 	 	12	10	11	12	 	5	0	44.7%	56	38	44.28	0.0
2890	18	17	16	18	 	19	16	20	 	 	4	0	72.9%	74	 	43.98	I
0806	11	15	10	 	 	1	 	 	 	 	5	0	21.8%	56	59	43.51	0.0
1337	9	13	12	8	 	13	1	1	 	 	3	0	33.5%	55	47	43.21	0.0
3874	14	12	1	8	 	14	9	7	3	 	5	0	40.0%	46	42	42.00	0.0
7828	17	17	14	11	 	13	15	13	14	 	5	0	67.1%	72	 	41.22	0.0
2079	11	12	12	10	 	 	0	0	21	 	5	0	38.8%	60	30	39.53	0.0
2293	10	18	4	12	 	0	1	0	6	 	5	0	30.0%	39	41	36.20	0.0
4244	18	2	18	18	 	18	18	17	 	 	5	0	64.1%	42	 	34.05	0.0
2208	13	12	10	13	 	 	 	9	 	 	5	0	33.5%	45	29	34.01	0.0
1746	3	12	13	1	 	7	 	 	 	 	5	0	21.2%	59	31	32.67	0.0
1823	17	 	15	7	 	2	0	 	 	 	5	0	24.1%	59	23	30.65	0.0
7450	11	15	 	3	 	 	 	 	 	 	3	0	17.1%	59	28	29.82	0.0
2675	18	17	12	 	 	20	 	 	 	 	5	0	39.4%	59	 	27.56	0.0
2339	17	19	 	17	 	17	 	 	 	 	2	0	41.2%	54	 	27.27	0.0
0601	19	10	14	 	 	 	 	 	 	 	5	0	25.3%	65	 	23.12	0.0
1192	12	5	10	11	 	 	 	 	 	 	5	0	22.4%	70	 	22.94	0.0
2988	 	 	 	 	 	 	 	 	 	 	0	0	0.0%	67	10	17.40	0.0
2052	0	4	2	5	 	17	 	 	 	 	4	0	16.5%	28	 	12.19	0.0
9154	4	8	7	6	 	 	 	 	 	 	5	0	14.7%	26	 	11.08	0.0
2545	12	 	 	 	 	 	 	 	 	 	2	0	7.1%	23	 	7.42	0.0
2653	 	 	 	 	 	 	 	 	 	 	0	0	0.0%	 	 	0.00	0.0

mean	17.0	16.5	16.1	15.9	0.8	16.9	15.5	16.3	24.3	1.8	3.2	0.3	79.0%	80.3	71.4	75.32	2.6
median	18	17	17	17	1	18	16	17	26	2	4	0	85.1%	83	73	79.04	2.9
