
last 4 digits of sid	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
0817	17	18	19	20	 	20	20	20	28	 	0	0	95.3%	97	77	88.32	3.6
4357	19	19	18	15	1	20	17	19	28	 	5	0	91.8%	88	85	88.31	3.6
6008	19	19	14	20	 	18	18	19	29	2	0	4	93.7%	98	78	88.29	3.6
5523	19	19	19	20	1	20	20	16	29	2	1	0	97.1%	97	75	88.22	3.6
1749	15	17	16	18	1	18	18	13	29	 	3	0	85.3%	84	93	88.12	3.6
2452	18	18	18	19	1	19	18	19	29	 	3	5	94.5%	97	77	88.00	3.6
5215	20	18	20	19	 	19	20	14	29	 	3	0	93.5%	90	81	87.81	3.5
4714	19	17	20	17	1	20	20	19	29	2	0	0	96.5%	88	79	87.79	3.5
2695	20	19	18	19	 	20	17	20	29	 	5	0	95.3%	86	81	87.72	3.5
2054	19	15	18	15	 	20	17	17	28	 	1	0	87.6%	97	83	87.66	3.5
4423	19	17	19	17	1	19	16	17	29	 	0	0	90.6%	97	80	87.64	3.5
0298	19	18	19	19	 	19	19	18	30	 	2	0	94.7%	91	78	87.28	3.5
4858	20	17	19	19	2	20	20	19	29	 	4	0	97.1%	88	77	87.22	3.5
8821	19	18	16	18	 	20	15	17	28	 	5	0	88.8%	96	81	87.13	3.5
5416	18	18	20	19	 	18	16	18	26	 	5	0	90.0%	95	80	87.00	3.5
5067	18	17	20	17	0	20	19	16	26	 	5	0	90.0%	90	82	86.80	3.5
1234	17	15	19	16	 	18	16	20	30	 	0	0	88.8%	94	81	86.73	3.5
6942	18	16	16	15	0	19	14	16	21	0	2	3	80.0%	88	92	86.40	3.5
3064	20	18	19	16	 	19	18	20	28	 	0	0	92.9%	88	79	86.38	3.5
4685	19	18	19	17	 	20	20	20	29	 	3	0	95.3%	83	79	86.32	3.5
2618	19	16	18	18	1	17	16	19	30	2	5	0	91.8%	90	79	86.31	3.5
4543	18	17	18	17	0	19	17	18	27	2	2	0	90.0%	75	88	86.20	3.5
6444	17	19	17	18	 	19	20	18	25	 	4	5	91.0%	95	77	86.19	3.5
7423	17	17	19	18	1	19	17	19	29	 	3	3	92.4%	90	78	86.14	3.5
8461	20	19	12	17	 	18	17	17	26	 	2	2	86.3%	97	80	85.91	3.4
3140	19	19	18	20	0	17	19	17	28	2	3	5	94.5%	84	78	85.80	3.4
1497	16	14	19	17	 	18	17	15	23	1	5	0	82.4%	94	85	85.74	3.4
3200	16	15	20	17	 	19	15	14	24	 	4	0	82.4%	89	87	85.54	3.4
6833	17	17	19	19	 	18	18	20	28	 	2	0	91.8%	98	73	85.51	3.4
8147	18	18	18	18	0	18	16	19	25	 	0	0	88.2%	83	84	85.49	3.4
6061	17	17	15	18	1	18	19	20	29	 	1	0	90.6%	90	78	85.44	3.4
1288	20	18	20	19	0	16	17	15	23	 	4	0	87.1%	93	80	85.42	3.4
6054	11	15	19	19	 	15	14	11	26	 	5	0	76.5%	90	92	85.39	3.4
0663	17	19	19	18	1	20	19	19	26	 	5	0	92.9%	69	86	85.38	3.4
5553	18	18	11	18	 	17	16	17	28	 	4	0	84.1%	94	82	85.25	3.4
0941	19	18	19	17	 	18	16	18	27	2	5	0	90.6%	87	79	85.24	3.4
3948	19	18	16	18	1	19	18	15	29	 	5	0	90.0%	91	77	85.00	3.4
4512	19	18	16	19	1	20	14	20	30	 	0	0	92.4%	98	71	84.94	3.4
1013	17	19	18	16	 	19	18	20	28	 	0	0	91.2%	90	76	84.87	3.4
6132	18	16	16	15	 	20	19	13	30	 	4	0	86.5%	87	82	84.79	3.4
0308	19	19	17	19	2	19	17	19	28	2	3	0	94.7%	84	75	84.68	3.3
0491	17	16	17	18	0	16	18	17	23	2	0	0	84.7%	89	82	84.48	3.3
2565	18	17	18	19	 	18	19	16	26	 	4	4	89.6%	77	83	84.44	3.3
5035	18	14	17	18	 	19	18	17	30	 	2	0	88.8%	83	80	84.13	3.3
3921	16	18	18	19	 	18	17	19	30	 	0	0	91.2%	98	70	84.07	3.3
4083	15	16	17	17	1	18	16	18	29	2	4	0	87.6%	98	73	83.86	3.3
3224	17	17	19	16	1	19	18	15	29	2	2	0	90.0%	72	83	83.60	3.3
0373	17	13	4	19	 	14	16	18	27	 	5	0	75.3%	89	89	83.52	3.2
6959	18	18	18	19	 	20	17	20	26	 	1	0	91.8%	82	76	83.51	3.2
9753	18	15	17	17	 	16	14	19	28	 	1	0	84.7%	90	79	83.48	3.2
1767	18	16	17	19	 	18	16	20	25	 	2	0	87.6%	86	78	83.46	3.2
