last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	new fin	total	grade
2862	19	20	18	19	20	20	20	30	 	97.6%	76	90	74	82	89.86	3.7
8542	19	19	16	18	19	17	19	29	 	91.8%	85	99	75	83	89.71	3.7
2433	18	17	20	18	20	17	20	30	 	94.1%	77	91	76	84	89.45	3.7
0207	19	18	18	18	20	14	18	27	2	90.6%	82	96	77	85	89.44	3.7
1196	19	19	19	19	18	16	19	28	2	93.5%	75	89	77	85	89.21	3.7
0830	19	15	12	17	19	19	19	27	 	86.5%	63	77	90	98	89.19	3.7
5715	16	14	18	19	18	15	18	23	 	82.9%	73	87	88	96	88.98	3.6
0868	19	17	15	18	16	17	20	24	 	85.9%	53	67	95	103	88.95	3.6
6424	19	16	18	18	17	17	15	22	 	83.5%	81	95	83	91	88.81	3.6
3389	17	16	13	18	18	14	16	24	 	80.0%	84	98	85	93	88.80	3.6
0891	19	16	20	20	19	17	20	30	2	95.9%	80	94	71	79	88.75	3.6
5433	15	16	18	19	18	15	20	30	 	88.8%	84	98	76	84	88.73	3.6
1407	18	17	18	18	17	16	18	25	2	87.6%	81	95	78	86	88.46	3.6
0582	17	16	18	18	18	16	16	30	 	87.6%	63	77	87	95	88.46	3.6
3519	18	17	14	17	18	15	17	30	 	85.9%	70	84	85	93	88.35	3.6
9004	19	17	17	15	19	13	20	25	 	85.3%	81	95	80	88	88.32	3.6
2481	19	19	20	19	19	19	19	29	 	95.9%	82	96	68	76	87.95	3.6
6944	19	13	18	16	19	17	18	30	 	88.2%	82	96	75	83	87.69	3.6
0450	18	16	15	18	20	17	19	28	 	88.8%	78	92	76	84	87.53	3.6
9874	17	16	14	16	17	18	19	30	 	86.5%	62	76	86	94	87.39	3.6
5025	18	16	18	18	17	16	15	17	 	79.4%	68	82	90	98	87.36	3.6
8196	17	16	18	19	19	16	18	29	 	89.4%	76	90	75	83	86.96	3.5
8179	20	19	17	17	19	16	17	25	 	88.2%	72	86	78	86	86.89	3.5
0870	20	19	18	17	17	17	18	28	 	90.6%	60	74	81	89	86.64	3.5
0675	18	19	14	18	19	16	18	26	 	87.1%	69	83	80	88	86.62	3.5
6299	19	16	17	17	18	15	19	26	 	86.5%	88	102	71	79	86.59	3.5
0501	20	14	18	18	17	19	19	26	 	88.8%	64	78	80	88	86.33	3.5
0386	14	18	14	19	19	14	15	26	 	81.8%	57	71	90	98	86.11	3.5
9945	18	17	17	19	19	17	19	30	 	91.8%	75	89	71	79	86.11	3.5
1364	20	17	17	18	20	15	16	25	 	87.1%	94	108	66	74	86.02	3.5
1137	18	18	16	16	15	15	20	27	 	85.3%	65	79	82	90	85.92	3.5
4256	16	17	20	18	16	14	19	28	 	87.1%	75	89	75	83	85.82	3.5
5572	20	20	19	18	17	16	18	27	2	92.4%	68	82	73	81	85.74	3.5
0821	18	16	18	16	18	15	16	28	 	85.3%	58	72	85	93	85.72	3.5
1751	18	14	20	20	19	18	19	28	 	91.8%	80	94	67	75	85.51	3.5
9568	18	18	20	19	18	13	16	28	 	88.2%	67	81	77	85	85.49	3.5
5946	18	18	18	18	18	16	19	27	 	89.4%	70	84	74	82	85.36	3.5
4206	17	14	17	15	15	17	15	27	 	80.6%	75	89	80	88	85.24	3.5
3079	20	16	14	17	19	17	18	30	 	88.8%	78	92	70	78	85.13	3.5
9392	14	16	18	17	19	17	15	27	 	84.1%	71	85	78	86	85.05	3.5
0164	18	18	16	16	17	13	19	22	 	81.8%	55	69	88	96	84.91	3.4
0138	19	16	17	18	19	17	15	18	 	81.8%	71	85	80	88	84.91	3.4
0606	20	18	18	18	19	14	17	26	 	88.2%	50	64	84	92	84.89	3.4
0580	16	19	17	19	19	16	18	28	 	89.4%	55	69	80	88	84.76	3.4
8999	19	17	18	19	17	16	20	29	 	91.2%	65	79	73	81	84.67	3.4
2958	20	19	18	20	19	20	20	28	2	97.6%	48	62	75	83	84.66	3.4
0130	18	19	18	17	17	17	19	29	 	90.6%	64	78	73	81	84.24	3.4
4520	20	18	18	18	20	10	19	29	 	89.4%	56	70	78	86	84.16	3.4
2863	20	19	17	19	16	12	17	29	 	87.6%	71	85	72	80	84.06	3.4
4415	18	14	19	19	20	20	20	28	 	92.9%	60	74	72	80	83.98	3.3
5460	17	14	16	20	19	18	18	30	 	89.4%	75	89	68	76	83.96	3.3
5041	19	20	19	18	16	18	18	18	 	85.9%	82	96	68	76	83.95	3.3
7155	19	14	19	19	15	19	11	29	 	85.3%	74	88	72	80	83.72	3.3
0536	19	19	19	18	19	16	17	18	 	85.3%	75	89	71	79	83.52	3.3
2568	19	18	19	17	19	16	19	25	2	90.6%	54	68	76	84	83.44	3.3
1681	17	13	20	18	12	12	 	27	 	70.0%	67	81	90	98	83.40	3.3
8082	18	16	19	18	18	17	18	30	 	90.6%	68	82	68	76	83.04	3.2
0060	20	14	16	17	18	19	16	28	 	87.1%	75	89	68	76	83.02	3.2
8315	19	18	19	19	16	17	17	27	 	89.4%	54	68	76	84	82.96	3.2
7454	20	17	18	18	16	16	20	28	2	91.2%	54	68	74	82	82.87	3.2
4218	19	19	20	20	18	17	15	26	 	90.6%	72	86	65	73	82.64	3.2
1877	19	20	16	19	18	19	17	30	0	92.9%	67	81	65	73	82.58	3.2
5091	19	16	16	17	12	16	19	29	 	84.7%	61	75	76	84	82.48	3.2
0951	18	11	14	19	15	15	14	18	 	72.9%	74	88	81	89	82.38	3.2
4798	19	15	19	18	16	14	20	29	2	89.4%	61	75	71	79	82.36	3.2
2201	18	18	19	17	19	16	19	28	 	90.6%	78	92	61	69	82.24	3.2
2474	17	17	18	15	17	13	17	19	 	78.2%	73	87	75	83	81.89	3.1
0273	17	18	14	16	18	13	16	25	 	80.6%	66	80	76	84	81.84	3.1
0221	20	15	14	19	19	15	19	27	 	87.1%	79	93	63	71	81.82	3.1
5365	18	15	16	17	19	15	18	26	 	84.7%	61	75	74	82	81.68	3.1
7654	20	18	19	14	17	16	17	27	 	87.1%	63	77	70	78	81.42	3.1
2445	18	19	15	17	18	19	15	30	 	88.8%	70	84	64	72	81.13	3.1
0883	18	17	15	17	17	16	15	23	 	81.2%	54	68	79	87	80.87	3
0153	19	18	19	19	18	20	19	27	 	93.5%	73	87	57	65	80.81	3
7840	19	19	18	18	13	14	13	28	 	83.5%	73	87	67	75	80.81	3
9760	17	13	17	17	18	13	14	27	 	80.0%	69	83	72	80	80.60	3
0440	15	17	18	19	17	16	19	27	 	87.1%	74	88	62	70	80.42	3
0375	19	17	16	17	15	16	17	21	 	81.2%	71	85	69	77	80.27	3
2562	17	15	17	17	17	12	18	25	 	81.2%	75	89	67	75	80.27	3
0524	19	19	18	20	20	20	19	29	 	96.5%	62	76	58	66	80.19	3
5313	18	16	15	16	18	16	18	6	 	72.4%	76	90	75	83	80.14	3
9979	18	20	19	18	19	16	18	28	 	91.8%	57	71	65	73	80.11	3
5751	19	16	12	19	16	13	18	23	 	80.0%	62	76	74	82	80.00	2.9
6653	17	20	15	14	17	16	17	30	 	85.9%	68	82	65	73	79.95	2.9
1300	20	18	19	18	18	17	18	28	 	91.8%	66	80	60	68	79.91	2.9
9305	18	15	12	20	15	14	15	27	 	80.0%	72	86	68	76	79.60	2.9
4429	17	17	18	19	18	19	20	29	 	92.4%	71	85	56	64	79.54	2.9
3974	17	17	19	18	20	17	18	29	 	91.2%	81	95	52	60	79.47	2.9
9259	18	15	19	17	18	18	19	30	 	90.6%	54	68	66	74	79.44	2.9
2072	19	17	15	16	19	19	18	28	 	88.8%	61	75	64	72	79.33	2.9
1060	18	17	17	19	19	18	17	8	 	78.2%	64	78	73	81	79.29	2.9
2169	14	12	15	17	17	14	16	26	 	77.1%	74	88	68	76	78.82	2.8
2976	17	14	10	18	17	11	11	24	 	71.8%	65	79	77	85	78.51	2.8
5267	19	17	14	18	17	17	18	27	 	86.5%	63	77	63	71	78.39	2.8
0541	20	16	18	19	17	15	18	26	 	87.6%	65	79	60	68	78.06	2.8
0975	16	13	14	17	18	14	9	25	 	74.1%	52	66	80	88	78.05	2.8
7842	17	14	17	19	16	16	19	28	 	85.9%	82	96	53	61	77.95	2.7
8322	20	18	 	20	13	15	19	29	 	78.8%	82	96	60	68	77.93	2.7
3279	19	13	13	12	14	14	14	28	 	74.7%	64	78	73	81	77.88	2.7
7000	19	20	19	18	18	19	17	30	 	94.1%	41	55	65	73	77.85	2.7
0623	20	14	16	18	19	14	18	27	 	85.9%	64	78	61	69	77.55	2.7
1396	20	17	14	16	19	18	18	29	 	88.8%	54	68	63	71	77.53	2.7
9630	20	16	16	19	17	14	14	22	 	81.2%	57	71	69	77	77.47	2.7
9522	18	16	16	19	17	11	18	28	 	84.1%	75	89	57	65	77.45	2.7
6856	20	19	18	17	18	13	16	27	 	87.1%	55	69	64	72	77.42	2.7
2210	15	20	16	19	19	17	15	26	 	86.5%	68	82	58	66	77.39	2.7
9053	19	15	17	17	18	17	17	18	 	81.2%	60	74	67	75	77.27	2.7
1348	 	17	15	17	18	17	13	27	 	72.9%	75	89	67	75	76.98	2.6
0368	17	18	17	18	16	17	19	22	 	84.7%	63	77	61	69	76.88	2.6
2608	17	15	16	18	17	19	18	22	 	83.5%	61	75	63	71	76.81	2.6
6573	19	17	16	15	18	18	19	30	 	89.4%	63	77	56	64	76.76	2.6
0367	16	11	17	17	19	16	17	25	 	81.2%	54	68	68	76	76.47	2.6
1232	18	19	19	19	19	17	20	27	 	92.9%	54	68	56	64	76.38	2.6
8257	19	18	19	18	20	18	20	23	 	91.2%	63	77	53	61	76.27	2.6
7980	20	16	17	18	19	18	18	27	 	90.0%	59	73	56	64	76.20	2.6
0062	18	14	17	15	18	18	19	27	 	85.9%	60	74	59	67	75.95	2.5
3160	14	12	16	16	15	17	16	23	 	75.9%	48	62	75	83	75.95	2.5
1775	5	15	17	15	15	14	19	23	 	72.4%	66	80	69	77	75.74	2.5
8116	19	18	17	14	18	15	6	25	 	77.6%	71	85	61	69	75.66	2.5
2168	19	16	13	19	14	19	17	24	 	82.9%	44	58	69	77	75.58	2.5
8838	19	17	17	19	19	12	15	27	 	85.3%	63	77	57	65	75.52	2.5
0379	17	13	17	9	10	15	16	22	 	70.0%	79	93	64	72	75.40	2.5
9751	15	8	15	12	6	14	14	20	 	61.2%	68	82	78	86	75.27	2.5
5058	18	19	19	18	17	15	18	30	 	90.6%	56	70	54	62	75.04	2.4
5152	17	14	13	14	20	15	15	28	 	80.0%	61	75	62	70	75.00	2.4
9498	17	13	11	16	15	16	19	27	 	78.8%	57	71	65	73	74.93	2.4
6365	18	15	18	18	15	15	19	20	 	81.2%	50	64	66	74	74.87	2.4
6839	16	14	15	15	17	12	17	25	 	77.1%	58	72	66	74	74.82	2.4
1023	19	12	15	19	12	16	19	29	 	82.9%	53	67	62	70	74.58	2.4
4487	15	18	16	17	15	12	13	28	 	78.8%	52	66	66	74	74.33	2.4
2774	19	19	18	18	18	19	15	28	 	90.6%	61	75	49	57	74.04	2.3
8761	13	17	15	16	17	14	20	30	 	83.5%	58	72	57	65	73.81	2.3
8550	14	19	15	15	18	15	14	18	 	75.3%	82	96	53	61	73.72	2.3
3997	18	10	14	14	16	14	17	23	 	74.1%	76	90	57	65	73.65	2.3
0737	16	10	16	13	16	16	19	25	 	77.1%	54	68	65	73	73.62	2.3
7476	18	9	12	17	14	2	10	22	 	61.2%	75	89	70	78	73.47	2.3
5180	18	13	15	20	17	16	14	25	 	81.2%	53	67	61	69	73.47	2.3
8544	15	17	17	15	17	20	18	25	 	84.7%	49	63	59	67	73.28	2.3
0977	19	10	9	13	17	15	18	19	 	70.6%	78	92	58	66	73.04	2.2
0708	19	13	15	14	16	16	15	28	 	80.0%	59	73	58	66	73.00	2.2
0881	14	12	0	17	13	16	16	29	 	68.8%	63	77	67	75	72.93	2.2
0330	19	18	17	15	15	13	18	23	 	81.2%	64	78	54	62	72.87	2.2
8846	19	15	15	17	13	17	11	26	 	78.2%	60	74	58	66	72.49	2.2
0522	18	18	17	16	18	15	16	25	 	84.1%	60	74	52	60	72.45	2.2
4627	16	11	12	19	10	15	16	26	 	73.5%	63	77	60	68	72.01	2.1
8263	18	18	15	17	17	16	18	 	 	70.0%	56	70	67	75	72.00	2.1
6310	19	18	16	14	13	16	18	26	 	82.4%	49	63	58	66	71.94	2.1
3506	16	15	17	16	15	17	15	27	 	81.2%	52	66	57	65	71.67	2.1
1634	19	16	14	15	16	16	16	23	 	79.4%	67	81	51	59	71.56	2.1
1648	18	13	14	14	15	13	17	14	 	69.4%	59	73	65	73	71.56	2.1
8851	14	18	18	20	15	10	19	17	 	77.1%	56	70	58	66	71.22	2.1
5504	19	17	12	16	17	17	12	20	 	76.5%	75	89	49	57	71.19	2.1
2458	19	17	 	17	14	18	14	26	 	73.5%	40	54	69	77	71.01	2
4383	16	14	10	18	19	17	18	25	 	80.6%	61	75	51	59	70.84	2
4911	17	18	17	19	16	14	18	27	 	85.9%	50	64	51	59	70.75	2
1792	19	16	16	14	17	17	13	25	 	80.6%	46	60	58	66	70.64	2
3671	19	16	17	13	16	17	15	21	 	78.8%	67	81	49	57	70.53	2
6861	18	13	15	9	19	15	19	29	 	80.6%	57	71	52	60	70.44	2
2289	17	17	19	19	15	19	18	17	 	82.9%	62	76	47	55	70.38	2
0732	16	17	13	18	16	13	13	26	 	77.6%	51	65	57	65	70.06	2
4077	19	19	12	14	18	17	17	25	 	82.9%	58	72	48	56	69.98	2
1849	16	14	12	14	15	6	18	13	 	63.5%	60	74	66	74	69.81	2
1827	18	7	15	13	17	8	18	7	 	60.6%	63	77	67	75	69.64	2
2889	19	19	17	17	17	13	18	30	 	88.2%	45	59	48	56	69.49	2
4011	18	15	15	17	17	14	14	21	 	77.1%	49	63	57	65	69.42	2
1098	20	19	13	15	16	14	11	16	 	72.9%	55	69	58	66	69.38	2
6197	11	11	14	14	8	14	14	26	 	65.9%	58	72	63	71	69.15	1.9
2861	13	17	18	15	15	14	17	23	 	77.6%	48	62	56	64	69.06	1.9
0309	18	16	13	15	15	11	17	26	 	77.1%	55	69	53	61	69.02	1.8
2031	15	0	14	13	13	19	12	22	 	63.5%	56	70	66	74	69.01	1.8
0348	17	14	16	18	14	11	18	17	 	73.5%	51	65	55	63	67.61	1.7
5453	15	18	17	17	14	14	11	28	 	78.8%	45	59	52	60	67.33	1.7
4913	19	18	17	14	17	16	16	27	 	84.7%	60	74	38	46	67.08	1.7
4732	19	15	17	15	17	12	11	6	 	65.9%	59	73	57	65	66.95	1.6
0518	15	18	17	18	7	16	18	30	 	81.8%	35	49	53	61	66.91	1.6
0333	16	12	18	18	14	13	14	22	 	74.7%	54	68	50	58	66.68	1.6
4816	9	9	18	14	16	15	15	27	 	72.4%	48	62	55	63	66.54	1.6
5405	18	16	16	11	 	15	9	23	 	63.5%	45	59	64	72	66.01	1.5
8506	13	14	8	16	4	4	8	16	 	48.8%	78	92	62	70	65.93	1.5
2447	17	14	11	14	12	5	6	26	 	61.8%	43	57	66	74	65.71	1.5
1190	17	10	13	14	12	4	17	29	 	68.2%	64	78	49	57	65.69	1.5
3212	17	18	19	19	19	12	19	30	 	90.0%	45	59	36	44	65.40	1.5
8348	9	8	8	18	6	15	7	13	 	49.4%	66	80	66	74	65.36	1.5
0791	15	13	6	15	6	15	17	14	 	59.4%	61	75	58	66	65.16	1.5
4582	12	19	16	18	5	14	15	8	 	62.9%	56	70	56	64	64.78	1.4
8469	19	17	20	17	19	18	20	29	 	93.5%	33	47	36	44	64.41	1.4
3196	20	17	17	18	17	19	15	28	 	88.8%	40	54	37	45	64.33	1.4
5068	18	15	15	18	13	3	17	6	 	61.8%	50	64	59	67	64.31	1.4
0800	17	12	11	16	10	20	6	12	 	61.2%	58	72	55	63	64.07	1.4
4626	17	15	16	18	13	15	7	5	 	62.4%	45	59	60	68	63.94	1.3
0434	18	16	13	14	 	10	9	25	 	61.8%	50	64	58	66	63.91	1.3
0721	18	12	16	17	17	15	18	20	 	78.2%	57	71	37	45	63.49	1.3
3214	15	11	15	17	4	12	13	20	 	62.9%	48	62	56	64	63.18	1.3
8773	19	17	17	18	17	15	12	14	 	75.9%	29	43	52	60	62.95	1.2
8523	18	12	12	12	12	15	14	26	 	71.2%	52	66	45	53	62.87	1.2
5434	18	11	18	13	19	16	12	8	 	67.6%	57	71	46	54	62.86	1.2
4846	18	19	16	19	19	16	17	28	 	89.4%	25	39	39	47	62.36	1.2
2356	10	12	8	18	 	5	5	3	 	35.9%	53	67	78	86	62.15	1.2
6919	13	15	8	17	10	9	9	8	 	52.4%	62	76	57	65	62.14	1.2
9927	17	11	14	14	18	16	19	28	 	80.6%	37	51	40	48	61.64	1.1
7758	17	15	16	16	16	17	14	 	 	65.3%	53	67	47	55	61.52	1.1
9535	9	11	11	18	6	12	10	14	 	53.5%	50	64	60	68	61.41	1.1
7191	15	13	7	17	13	16	15	12	 	63.5%	54	68	44	52	59.81	0.9
0556	20	16	18	18	17	 	 	 	 	52.4%	53	67	54	62	59.14	0.9
6671	19	17	19	17	 	14	19	3	 	63.5%	49	63	44	52	58.81	0.8
1034	 	12	9	14	9	8	8	28	 	51.8%	56	70	52	60	58.71	0.8
4517	 	 	 	15	10	 	11	12	 	28.2%	65	79	69	77	57.89	0.7
9019	16	15	16	18	16	 	 	13	 	55.3%	41	55	51	59	56.72	0.7
6877	15	10	10	18	16	14	16	18	 	68.8%	32	46	40	48	55.93	0.7
6756	11	14	14	17	14	9	13	6	 	57.6%	39	53	45	53	54.86	0.7
1742	13	12	17	17	16	12	11	 	 	57.6%	56	70	36	44	54.66	0
1305	17	15	18	18	18	3	4	2	 	55.9%	52	66	39	47	54.35	0
0486	13	8	15	16	15	 	3	6	 	44.7%	50	64	49	57	53.48	0
2024	 	17	15	18	17	12	 	6	 	50.0%	50	64	43	51	53.20	0
9982	17	16	13	14	8	16	4	5	 	54.7%	42	56	39	47	51.88	0
5556	9	10	11	16	13	 	17	 	 	44.7%	49	63	41	49	50.08	0
9950	14	8	8	14	14	14	13	11	 	56.5%	40	54	33	41	49.79	0
9229	11	8	 	10	 	3	 	5	 	21.8%	41	55	65	73	48.91	0
9389	17	18	15	11	8	 	 	 	 	40.6%	46	60	42	50	48.24	0
3819	18	17	5	17	12	 	0	25	 	55.3%	38	52	31	39	48.12	0
5554	19	11	13	5	16	7	 	 	 	41.8%	47	61	40	48	48.11	0
1147	14	16	19	19	15	4	 	 	 	51.2%	28	42	39	47	47.67	0
1896	13	3	11	6	13	13	11	5	 	44.1%	42	56	28	36	43.25	0
1736	15	14	15	18	20	13	18	 	 	66.5%	58	72	 	 	40.99	0
8422	8	0	6	19	13	0	0	0	 	27.1%	43	57	33	41	38.62	0
0640	12	 	 	 	 	 	 	 	 	7.1%	31	45	54	62	36.62	0
6839	9	6	1	0	0	0	1	6	 	13.5%	32	46	29	37	29.41	0
9013	19	 	14	 	2	 	 	 	 	20.6%	41	55	15	23	28.44	0
6375	 	 	 	16	0	 	 	 	 	9.4%	49	63	19	27	27.16	0
8144	8	9	0	14	0	 	 	 	 	18.2%	52	66	8	16	26.89	0
0556	10	11	17	 	16	 	 	 	 	31.8%	49	63	 	 	25.31	0
0206	18	12	8	18	11	 	 	 	 	39.4%	33	47	 	 	25.16	0
4330	8	5	6	5	 	 	 	 	 	14.1%	39	53	13	21	24.65	0
3818	 	 	 	 	 	 	 	 	 	0.0%	38	52	27	35	24.40	0
4757	 	3	 	 	 	 	 	 	 	1.8%	50	64	19	27	24.31	0
0250	 	 	 	 	4	 	0	22	 	15.3%	20	34	17	25	22.92	0
5198	10	19	18	18	16	 	 	 	 	47.6%	 	 	 	 	19.06	0
3151	 	 	 	 	 	 	 	 	 	0.0%	57	71	 	 	14.20	0
9514	9	 	 	 	 	 	 	 	 	5.3%	19	33	 	 	8.72	0
6848	12	13	6	 	 	 	 	 	 	18.2%	 	 	 	 	7.29	0
7172	 	 	 	 	 	 	 	 	 	0.0%	 	 	 	 	0.00	0

mean	17.3	15.6	15.8	16.9	16.2	15.1	16.1	24.1	1.8	76.2%	62.9	76.9	65.5	73.5	74.25	2.5
median	18	16	17	18	17	16	17	27	2	82.9%	63	77	66	74	77.54	2.7
