last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	new fin	total	grade
1431	19	19	19	20	19	20	20	28	2	97.6%	92	106	89	97	99.06	4
4488	19	18	20	18	19	19	18	29	 	94.1%	86	100	95	103	98.85	4
0081	20	16	18	16	15	17	20	28	0	88.2%	95	109	96	104	98.69	4
1050	18	20	18	19	19	16	17	26	 	90.0%	90	104	96	104	98.40	4
9423	19	17	17	16	19	18	19	27	2	90.6%	86	100	97	105	98.24	4
2044	19	18	18	18	20	17	19	28	 	92.4%	79	93	98	106	97.94	4
0211	19	19	18	20	20	16	19	26	 	92.4%	91	105	92	100	97.94	4
1649	20	17	18	20	19	14	19	27	2	91.8%	84	98	94	102	97.11	4
4589	20	19	18	19	18	17	18	29	 	92.9%	90	104	89	97	96.78	4
1674	20	20	19	19	20	18	19	28	 	95.9%	92	106	85	93	96.75	4
1649	20	15	19	17	19	19	20	30	 	93.5%	77	91	93	101	96.01	3.9
0260	19	17	15	19	19	18	20	30	 	92.4%	90	104	87	95	95.74	3.9
2854	20	17	19	18	20	17	16	29	2	92.9%	73	87	94	102	95.38	3.9
1733	19	17	18	14	15	14	18	28	2	85.3%	92	106	91	99	94.92	3.9
3505	19	19	18	18	16	20	16	28	 	90.6%	71	85	96	104	94.84	3.9
0302	19	20	20	20	19	19	19	29	2	98.2%	73	87	86	94	94.29	3.9
3627	16	17	17	16	14	14	17	28	 	81.8%	91	105	92	100	93.71	3.9
1695	19	20	17	19	20	15	17	28	 	91.2%	84	98	86	94	93.67	3.9
2190	17	11	15	18	19	16	16	30	 	83.5%	81	95	95	103	93.61	3.9
2388	20	16	14	20	18	17	18	28	 	88.8%	88	102	86	94	93.53	3.9
0766	19	18	18	20	19	16	20	30	 	94.1%	81	95	84	92	93.45	3.9
8329	19	16	17	19	19	15	15	26	 	85.9%	95	109	84	92	92.95	3.8
3466	19	19	20	16	18	14	20	30	 	91.8%	82	96	84	92	92.71	3.8
2651	19	19	18	19	19	19	19	27	 	93.5%	60	74	93	101	92.61	3.8
0395	17	17	17	17	16	17	16	29	 	85.9%	76	90	92	100	92.35	3.8
2534	18	18	20	18	19	20	18	27	 	92.9%	69	83	88	96	92.18	3.8
0803	17	15	18	18	17	17	19	28	 	87.6%	90	104	82	90	91.86	3.8
5499	14	20	18	19	19	19	19	30	 	92.9%	71	85	86	94	91.78	3.8
1446	19	16	17	16	18	19	19	29	 	90.0%	76	90	86	94	91.60	3.8
0457	20	15	18	19	19	17	18	29	2	92.4%	79	93	82	90	91.54	3.8
1788	17	17	16	19	19	16	18	29	 	88.8%	90	104	80	88	91.53	3.8
9911	20	19	19	18	20	16	20	28	2	95.3%	75	89	80	88	91.12	3.8
0274	18	20	19	17	17	17	16	29	 	90.0%	77	91	84	92	91.00	3.8
1020	18	16	19	13	20	18	19	30	 	90.0%	81	95	81	89	90.60	3.7
1372	20	20	17	20	16	16	15	28	 	89.4%	72	86	86	94	90.56	3.7
1836	20	19	19	19	19	17	20	30	 	95.9%	67	81	82	90	90.55	3.7
0595	18	14	17	16	18	13	19	28	 	84.1%	72	86	91	99	90.45	3.7
3149	20	19	18	20	19	16	18	28	 	92.9%	81	95	77	85	90.18	3.7
9704	18	20	19	18	18	17	19	29	 	92.9%	70	84	82	90	89.98	3.7
