last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	total	grade
5428	16	14	17	18	18	18	17	25	 	84.12%	82	96	80	84.85	3.4
4203	18	13	17	20	18	18	18	29	 	88.82%	71	85	80	84.53	3.3
9919	19	16	18	16	18	18	19	27	 	88.82%	69	83	81	84.53	3.3
4627	20	18	20	18	20	19	19	28	2	96.47%	55	69	80	84.39	3.3
0914	17	18	17	19	16	12	14	26	2	82.94%	66	80	88	84.38	3.3
2865	20	19	19	19	19	19	18	28	 	94.71%	71	85	73	84.08	3.3
1990	15	19	19	20	17	17	19	27	 	90.00%	75	89	75	83.80	3.3
3024	19	13	18	18	19	17	18	29	 	88.82%	68	82	79	83.53	3.2
0123	19	14	18	19	17	20	13	26	 	85.88%	61	75	85	83.35	3.2
9334	20	18	14	18	18	16	17	30	 	88.82%	57	71	84	83.33	3.2
3107	18	16	12	19	19	15	18	27	 	84.71%	73	87	80	83.28	3.2
5987	19	14	19	20	19	19	19	26	 	91.18%	66	80	77	83.27	3.2
9812	19	17	18	16	17	15	16	28	 	85.88%	76	90	77	83.15	3.2
4347	18	16	16	16	16	15	18	22	 	80.59%	74	88	83	83.04	3.2
6114	19	18	19	18	18	16	19	30	 	92.35%	60	74	78	82.94	3.2
5896	19	18	16	17	14	13	18	30	 	85.29%	84	98	73	82.92	3.2
2022	16	16	16	19	15	16	19	29	 	85.88%	70	84	79	82.75	3.2
9456	19	17	19	17	18	11	19	26	 	85.88%	48	62	90	82.75	3.2
6443	16	11	17	16	19	19	18	29	 	85.29%	77	91	76	82.72	3.1
1932	20	20	14	20	18	17	10	28	 	86.47%	78	92	74	82.59	3.1
1629	19	17	16	20	19	16	20	28	 	91.18%	70	84	73	82.47	3.1
5824	18	17	18	18	18	17	16	26	 	87.06%	76	90	74	82.42	3.1
7530	17	15	19	17	14	19	19	27	 	86.47%	71	85	77	82.39	3.1
3617	19	16	12	17	15	15	14	27	 	79.41%	73	87	83	82.36	3.1
0404	20	9	16	16	17	14	12	28	 	77.65%	64	78	89	82.26	3.1
9569	19	18	19	19	20	13	19	28	2	92.35%	68	82	72	82.14	3.1
1711	20	15	17	20	20	17	20	30	 	93.53%	62	76	73	81.81	3.1
1061	18	16	16	17	15	16	15	28	 	82.94%	65	79	82	81.78	3.1
0438	16	15	17	17	17	15	16	27	 	82.35%	66	80	80	80.94	3
1888	18	13	17	20	20	17	19	29	 	90.00%	64	78	73	80.80	3
0818	20	13	17	15	18	16	18	29	 	85.88%	42	56	88	80.75	3
5488	17	17	16	19	16	11	14	27	 	80.59%	66	80	81	80.64	2.9
8192	17	15	18	18	19	17	19	11	 	78.82%	58	72	86	80.33	2.9
5486	15	15	16	17	17	14	18	30	 	83.53%	74	88	73	80.21	2.9
1281	20	19	17	18	20	18	18	30	2	95.29%	62	76	67	80.12	2.9
0522	18	18	18	18	19	19	19	30	 	93.53%	59	73	70	80.01	2.9
8866	18	17	19	19	16	17	14	28	 	87.06%	69	83	71	79.82	2.9
3112	17	15	19	18	16	16	19	27	 	86.47%	64	78	74	79.79	2.9
4582	19	19	18	19	16	16	19	28	 	90.59%	57	71	73	79.64	2.8
6573	19	19	18	17	17	16	17	27	 	88.24%	68	82	69	79.29	2.8
0263	19	18	15	16	16	18	18	28	 	87.06%	60	74	74	79.22	2.8
4404	17	15	16	17	15	13	18	26	 	80.59%	79	93	70	78.84	2.8
1807	20	17	16	10	18	18	18	29	 	85.88%	45	59	81	78.55	2.7
2450	20	19	13	14	19	20	11	27	 	84.12%	58	72	75	78.05	2.7
1250	20	17	18	18	20	 	13	17	 	72.35%	55	69	88	77.94	2.7
5429	17	14	17	20	16	13	14	14	 	73.53%	56	70	86	77.81	2.7
0330	19	15	15	17	18	14	18	24	 	82.35%	62	76	73	77.34	2.6
2410	17	12	19	17	16	15	18	24	 	81.18%	70	84	70	77.27	2.6
4879	15	16	16	10	18	16	19	30	 	82.35%	51	65	78	77.14	2.6
0233	19	17	20	19	13	15	18	26	 	86.47%	62	76	68	76.99	2.6
5405	20	19	19	11	17	16	20	22	 	84.71%	47	61	77	76.88	2.6
9407	16	16	14	16	15	16	11	27	 	77.06%	74	88	71	76.82	2.6
5021	16	18	 	17	14	14	15	25	 	70.00%	62	76	84	76.80	2.6
0399	18	17	15	19	19	19	20	28	 	91.18%	47	61	70	76.67	2.5
7557	18	15	17	19	19	16	18	29	 	88.82%	60	74	65	76.33	2.5
8108	19	16	17	19	14	10	16	22	 	78.24%	60	74	75	76.09	2.5
5890	18	19	19	20	18	19	19	27	 	93.53%	55	69	62	76.01	2.5
1961	18	15	14	16	16	14	16	23	 	77.65%	48	62	81	75.86	2.5
1508	20	14	15	18	19	16	14	26	 	83.53%	58	72	70	75.81	2.5
2991	17	14	16	16	17	18	13	25	 	80.00%	61	75	72	75.80	2.5
5879	20	16	19	17	16	13	19	16	 	80.00%	61	75	72	75.80	2.5
1648	18	19	16	16	19	16	19	29	 	89.41%	66	80	60	75.76	2.5
0216	17	19	19	18	19	17	20	28	 	92.35%	61	75	59	75.54	2.4
2154	15	15	19	18	20	17	19	28	 	88.82%	71	85	57	75.33	2.4
4396	17	14	15	20	17	15	19	29	 	85.88%	62	76	64	75.15	2.4
3137	15	13	18	14	17	16	19	27	 	81.76%	76	90	61	75.11	2.4
1519	20	13	18	14	17	13	19	26	 	82.35%	68	82	64	74.94	2.4
1513	18	19	18	18	17	18	15	30	 	90.00%	59	73	60	74.60	2.3
8523	17	16	14	15	15	14	9	24	 	72.94%	57	71	78	74.58	2.3
1305	19	20	20	20	19	13	20	29	 	94.12%	61	75	54	74.25	2.3
7781	18	15	11	16	17	17	16	19	 	75.88%	65	79	68	73.35	2.2
1395	16	12	17	17	20	15	19	25	 	82.94%	60	74	63	73.18	2.2
0863	16	17	17	16	15	15	14	25	 	79.41%	71	85	61	73.16	2.2
3957	20	16	18	17	20	18	17	29	 	91.18%	54	68	57	72.87	2.2
1145	18	15	15	16	20	15	18	29	 	85.88%	46	60	66	72.75	2.2
0793	19	14	15	19	16	16	17	27	 	84.12%	55	69	63	72.65	2.1
2940	17	15	5	14	15	4	18	21	 	64.12%	65	79	78	72.65	2.1
6898	15	11	17	16	18	10	15	28	 	76.47%	58	72	69	72.59	2.1
1878	11	12	15	16	13	13	16	25	 	71.18%	49	63	78	72.27	2.1
3589	18	14	17	15	17	11	19	23	 	78.82%	75	89	57	72.13	2.1
0398	17	16	16	16	14	14	14	24	 	77.06%	67	81	62	71.82	2.1
0460	20	20	18	16	18	3	18	28	 	82.94%	67	81	56	71.78	2.1
0935	17	14	11	16	15	6	14	23	 	68.24%	45	59	81	71.49	2
1741	20	16	19	12	 	16	 	17	 	58.82%	73	87	76	71.33	2
0939	17	16	15	10	11	15	13	25	 	71.76%	51	65	74	71.31	2
3045	18	16	19	18	18	14	14	25	 	83.53%	67	81	54	71.21	2
0409	17	19	17	17	16	17	20	16	 	81.76%	50	64	62	70.31	1.9
8286	18	15	15	18	20	17	18	29	 	88.24%	29	43	66	70.29	1.9
8066	19	20	18	20	20	6	15	15	 	78.24%	60	74	60	70.09	1.9
8271	19	15	17	16	16	16	18	28	 	85.29%	41	55	62	69.92	1.9
4497	16	11	11	14	18	10	7	28	 	67.65%	39	53	80	69.66	1.8
0414	17	10	10	12	6	12	9	24	 	58.82%	60	74	78	69.53	1.8
0481	20	16	15	17	16	18	14	17	 	78.24%	59	73	59	69.49	1.8
0117	16	11	8	16	12	6	15	23	 	62.94%	56	70	74	68.78	1.8
5647	19	15	12	14	15	16	10	14	 	67.65%	58	72	68	68.66	1.7
0200	10	14	14	15	19	15	15	24	 	74.12%	57	71	62	68.65	1.7
9121	18	16	17	18	16	19	18	29	 	88.82%	53	67	49	68.53	1.7
9632	14	17	16	18	18	16	19	28	 	85.88%	56	70	49	67.95	1.7
2952	19	12	18	16	14	19	19	27	 	84.71%	42	56	57	67.88	1.7
8394	17	16	19	20	18	18	19	28	 	91.18%	46	60	48	67.67	1.6
1098	0	19	12	19	17	16	13	23	 	70.00%	60	74	62	67.60	1.6
2334	18	15	11	18	18	17	19	11	 	74.71%	57	71	58	67.28	1.6
0107	17	12	6	19	20	16	11	27	 	75.29%	48	62	61	66.92	1.6
0698	16	10	19	16	18	19	19	26	 	84.12%	46	60	53	66.85	1.6
7170	20	8	10	15	13	15	18	26	 	73.53%	55	69	59	66.81	1.6
8373	18	13	14	18	19	18	18	14	 	77.65%	57	71	53	66.46	1.5
0429	18	18	16	20	17	15	19	18	 	82.94%	47	61	52	66.18	1.5
0278	20	0	18	0	13	13	16	28	 	63.53%	49	63	69	65.61	1.4
5153	20	19	18	12	15	16	17	25	 	83.53%	47	61	50	65.61	1.4
2447	14	15	17	19	16	12	14	24	 	77.06%	69	83	44	65.02	1.4
1103	18	15	16	16	18	18	15	15	 	77.06%	48	62	53	64.42	1.3
0746	7	17	4	15	13	10	14	16	 	56.47%	60	74	67	64.19	1.3
8506	12	19	10	18	10	5	11	16	 	59.41%	66	80	61	64.16	1.3
3433	9	13	15	13	 	9	16	13	 	51.76%	58	72	72	63.91	1.3
2189	17	14	17	17	14	5	2	1	 	51.18%	71	85	66	63.87	1.3
3952	13	12	12	17	16	18	20	11	 	70.00%	51	65	56	63.40	1.2
6812	15	16	13	17	11	11	10	20	 	66.47%	36	50	67	63.39	1.2
1624	19	12	18	 	19	 	19	 	 	51.18%	45	59	75	62.27	1.1
9968	13	16	11	9	8	8	17	8	 	52.94%	49	63	71	62.18	1.1
1866	19	15	16	18	13	15	17	28	 	82.94%	61	75	35	62.18	1.1
0197	19	17	17	14	15	 	 	 	 	48.24%	57	71	69	61.09	1
0351	13	13	5	13	11	7	14	8	 	49.41%	38	52	72	58.96	0.8
5755	18	15	17	15	13	16	16	28	 	81.18%	29	43	44	58.67	0.7
0737	15	4	13	18	6	10	11	15	 	54.12%	37	51	67	58.65	0.7
4517	 	 	 	14	10	 	15	11	 	29.41%	78	92	71	58.56	0.7
8909	14	12	13	16	3	13	16	25	 	65.88%	42	56	52	58.35	0.7
5146	14	12	3	15	8	11	11	13	 	51.18%	62	76	56	58.07	0.7
1553	17	14	12	13	13	11	13	27	 	70.59%	29	43	53	58.04	0.7
2984	18	15	14	14	5	11	16	 	 	54.71%	41	55	55	54.88	0
0530	18	16	15	17	13	11	1	16	 	62.94%	24	38	44	50.38	0
6539	11	13	16	15	 	 	 	 	 	32.35%	67	81	51	49.54	0
9188	17	12	11	16	13	18	16	17	 	70.59%	31	45	30	49.24	0
9758	10	12	14	16	6	0	0	5	 	37.06%	57	71	50	49.02	0
3026	9	12	12	16	15	 	5	17	 	50.59%	46	60	40	48.24	0
3298	15	 	14	15	14	12	9	26	 	61.76%	45	59	28	47.71	0
2349	19	19	9	6	12	10	11	8	 	55.29%	25	39	40	45.92	0
0063	11	5	5	1	6	9	 	0	 	21.76%	36	50	61	43.11	0
3411	11	0	8	11	0	 	9	 	 	22.94%	43	57	54	42.18	0
7451	8	8	10	13	 	12	11	7	 	40.59%	31	45	36	39.64	0
9514	17	11	12	 	 	 	 	7	 	27.65%	38	52	42	38.26	0
8033	9	16	5	9	0	7	 	23	 	40.59%	20	34	36	37.44	0
7522	13	12	17	18	11	 	 	 	 	41.76%	27	41	30	36.91	0
7526	16	3	 	12	 	18	18	 	 	39.41%	23	37	33	36.36	0
5110	19	16	12	17	0	11	 	 	 	44.12%	65	79	 	33.45	0
0849	18	13	 	 	3	 	 	 	 	20.00%	33	47	40	33.40	0
