last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
7424	20	15	14	17	19	10	17	26	0	2	81.18%	81	85	67	76.27	2.5
1493	19	18	18	17	17	17	20	24	 	3	88.24%	80	84	60	76.09	2.5
8630	19	13	17	19	16	18	14	27	 	1	84.12%	76	80	66	76.05	2.5
3000	17	4	13	14	7	16	11	19	 	5	59.41%	73	77	92	75.96	2.5
0802	18	13	16	20	15	15	17	21	 	5	79.41%	79	83	68	75.56	2.4
7872	19	18	19	17	16	19	20	26	 	5	90.59%	68	72	62	75.44	2.4
9563	18	 	14	20	18	17	18	25	 	3	76.47%	81	85	69	75.19	2.4
1231	19	17	19	19	17	18	19	24	 	 	89.41%	83	87	55	75.16	2.4
8428	19	17	18	18	17	11	17	12	 	5	75.88%	64	68	78	75.15	2.4
2657	19	15	14	14	18	17	18	25	 	 	82.35%	79	83	64	75.14	2.4
8149	15	9	11	15	14	15	19	30	 	4	75.29%	67	71	77	75.12	2.4
1235	18	17	10	16	15	14	20	24	 	2	78.82%	71	75	71	74.93	2.4
0060	18	15	16	14	17	16	15	28	 	 	81.76%	73	77	67	74.91	2.4
4770	16	17	13	15	15	14	12	 	 	2	60.00%	80	84	85	74.80	2.4
5565	19	18	15	15	15	12	14	22	 	3	76.47%	73	77	72	74.79	2.4
5521	18	17	11	19	16	15	18	27	 	2	82.94%	72	76	66	74.78	2.4
2269	20	17	16	18	20	18	20	26	 	3	91.18%	51	55	68	74.67	2.4
8251	18	10	15	14	15	13	12	26	 	2	72.35%	82	86	71	74.54	2.3
0365	20	19	16	18	20	18	13	 	 	1	72.94%	70	74	76	74.38	2.3
5667	18	16	15	18	16	18	19	26	 	5	85.88%	80	84	58	74.35	2.3
8719	17	15	18	16	11	16	19	28	 	2	82.35%	59	63	72	74.34	2.3
9225	14	18	16	15	13	15	20	24	 	4	79.41%	68	72	70	74.16	2.3
8579	19	15	9	12	13	 	15	26	 	3	64.12%	68	72	85	74.05	2.3
4469	14	14	15	19	17	17	19	28	 	4	84.12%	54	58	72	74.05	2.3
4278	17	18	17	17	9	17	19	27	 	2	82.94%	60	64	70	73.98	2.3
8995	20	16	16	19	19	17	19	28	 	2	90.59%	70	74	57	73.84	2.3
8292	14	15	18	18	16	20	17	19	 	5	80.59%	75	79	64	73.64	2.3
3134	19	18	20	19	17	19	20	27	 	1	93.53%	59	63	59	73.61	2.3
6207	19	13	18	16	15	14	16	25	 	3	80.00%	82	86	61	73.60	2.2
1836	19	15	14	19	16	16	17	25	 	5	82.94%	74	78	62	73.58	2.2
4142	19	12	14	16	18	20	20	13	 	4	77.65%	77	81	65	73.26	2.2
1697	19	12	17	16	13	15	17	27	0	4	80.00%	67	71	67	73.00	2.2
7091	20	15	16	17	18	6	15	27	 	5	78.82%	69	73	67	72.93	2.2
4425	19	12	15	15	15	15	14	26	 	5	77.06%	68	72	69	72.82	2.2
3024	14	11	17	16	17	12	17	24	 	4	75.29%	71	75	69	72.72	2.2
8829	19	17	13	19	16	16	19	20	 	5	81.76%	68	72	64	72.71	2.2
4264	18	15	17	11	15	13	16	18	 	2	72.35%	58	62	78	72.54	2.1
7864	19	15	14	18	19	16	20	28	 	5	87.65%	58	62	62	72.26	2.1
6241	20	15	18	19	13	8	16	30	 	5	81.76%	60	64	66	71.91	2.1
2688	19	16	16	18	20	9	18	9	 	5	73.53%	70	74	68	71.41	2
1758	19	15	15	18	18	14	11	15	 	5	73.53%	86	90	60	71.41	2
2185	19	14	18	17	13	16	20	 	 	4	68.82%	69	73	73	71.33	2
5125	18	13	8	19	16	19	7	15	 	3	67.65%	68	72	74	71.06	2
5198	18	17	16	16	14	15	 	 	 	5	56.47%	77	81	80	70.79	2
4575	17	17	13	8	18	18	19	29	 	3	81.76%	34	38	76	70.71	2
0440	16	17	18	18	15	14	20	28	 	5	85.88%	30	34	73	70.35	1.9
8571	18	16	15	12	14	19	18	25	 	5	80.59%	40	44	73	70.24	1.9
0062	18	13	10	7	16	0	17	24	 	5	61.76%	65	69	79	70.11	1.9
4744	16	17	17	17	16	14	12	21	 	5	76.47%	70	74	61	69.79	1.9
2410	18	10	16	19	8	15	15	21	 	2	71.76%	73	77	64	69.71	1.9
8315	17	16	18	18	17	13	20	28	 	2	86.47%	60	64	55	69.39	1.8
6755	20	15	16	18	17	12	15	27	 	3	82.35%	56	60	61	69.34	1.8
1239	19	19	16	17	16	20	19	30	 	3	91.76%	45	49	56	68.91	1.8
1110	20	19	19	19	20	18	18	23	 	5	91.76%	70	74	43	68.71	1.8
9645	13	17	8	18	15	 	19	27	 	5	68.82%	57	61	72	68.53	1.7
2697	16	18	17	11	16	14	18	29	 	4	81.76%	63	67	56	68.51	1.7
4450	18	14	17	19	19	12	7	15	 	1	71.18%	58	62	68	68.07	1.7
3137	17	13	15	12	18	8	15	26	 	4	72.94%	60	64	65	67.98	1.7
0262	18	13	13	14	16	17	20	24	 	2	79.41%	65	69	56	67.96	1.7
8399	14	17	8	19	18	8	17	28	 	4	75.88%	61	65	61	67.75	1.7
6656	16	12	5	10	13	14	12	21	 	3	60.59%	83	87	65	67.64	1.7
0601	19	15	17	16	17	15	16	30	 	1	85.29%	62	66	46	65.72	1.5
3372	17	12	16	11	11	12	6	23	 	5	63.53%	69	73	64	65.61	1.5
4211	11	13	15	18	17	17	20	25	 	4	80.00%	57	61	53	65.40	1.4
7189	16	15	17	17	17	16	17	25	 	5	82.35%	60	64	49	65.34	1.4
0706	18	16	18	16	19	20	19	21	 	5	86.47%	51	55	49	65.19	1.4
2742	18	6	15	17	 	17	 	 	 	 	42.94%	84	88	75	64.78	1.4
7182	17	16	17	16	17	13	17	28	 	3	82.94%	68	72	43	64.78	1.4
0096	17	14	16	15	14	12	11	14	 	5	66.47%	48	52	66	63.39	1.2
5340	16	14	7	11	11	3	13	20	 	2	55.88%	76	80	62	63.15	1.2
3957	19	9	19	15	19	17	18	24	 	3	82.35%	53	57	47	63.14	1.2
5432	19	20	12	15	15	16	16	26	 	5	81.76%	46	50	51	63.11	1.2
5041	19	11	18	18	17	17	19	21	 	1	82.35%	52	56	47	62.94	1.2
0556	18	11	18	16	13	 	 	 	 	5	44.71%	61	65	80	62.88	1.2
6919	14	14	10	16	10	4	9	4	 	5	47.65%	79	83	68	62.86	1.2
