
last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
1613	19	20	17	18	19	18	18	30	 	 	2	93.9%	80	85	87.57	3.5
1019	17	14	14	16	16	18	19	29	 	4	0	84.1%	97	86	87.45	3.5
3999	17	20	20	18	20	17	18	29	 	5	0	93.5%	95	77	87.21	3.5
3671	18	18	20	15	18	18	16	27	2	4	2	89.8%	85	85	86.92	3.5
4349	18	18	19	19	16	17	15	21	 	1	0	84.1%	82	92	86.85	3.5
2376	15	19	18	20	17	18	19	28	 	2	0	90.6%	83	85	86.84	3.5
8250	20	17	19	20	20	17	19	22	 	4	2	91.0%	92	80	86.79	3.5
2087	19	15	18	18	18	17	18	28	 	 	0	88.8%	100	78	86.73	3.5
0325	18	18	19	16	19	19	19	26	0	2	0	90.6%	90	81	86.64	3.5
2617	18	17	18	17	20	20	20	25	2	5	0	92.4%	82	83	86.54	3.5
5156	18	17	19	19	19	20	16	23	 	3	0	88.8%	95	80	86.53	3.5
3914	13	17	16	16	17	17	19	26	 	5	0	82.9%	90	88	86.38	3.5
8444	17	18	12	16	18	17	20	28	 	2	0	85.9%	78	91	86.35	3.5
5401	17	17	14	19	17	12	16	25	2	 	3	82.4%	95	86	86.34	3.5
6808	19	19	18	20	20	18	18	28	 	5	0	94.1%	83	80	86.25	3.5
3186	18	19	17	19	17	19	20	27	 	4	0	91.8%	93	77	86.11	3.5
6264	17	14	18	19	18	19	18	27	 	5	0	88.2%	90	82	86.09	3.5
5620	19	17	16	18	18	17	20	25	 	 	0	88.2%	96	79	86.09	3.5
8487	16	16	18	17	19	17	18	27	 	4	0	87.1%	95	80	85.82	3.4
7571	19	14	16	15	19	17	15	27	 	1	0	83.5%	96	83	85.81	3.4
1762	13	18	18	14	19	18	20	28	 	5	3	87.6%	89	82	85.66	3.4
5354	18	20	16	16	20	19	16	29	 	 	0	90.6%	91	78	85.64	3.4
0696	18	18	16	18	18	13	18	26	2	1	0	86.5%	83	86	85.59	3.4
1314	17	17	17	19	19	18	18	27	 	0	0	89.4%	75	87	85.56	3.4
3078	19	15	19	20	20	19	20	27	2	4	3	95.3%	93	72	85.52	3.4
3219	20	19	17	16	18	19	19	19	1	5	0	87.1%	83	85	85.42	3.4
0639	18	15	16	20	18	19	17	27	 	 	0	88.2%	82	84	85.29	3.4
3368	18	20	18	20	20	18	17	29	 	2	0	94.1%	88	75	85.25	3.4
0524	18	18	20	20	19	19	20	30	 	5	0	96.5%	79	77	85.19	3.4
3000	18	18	16	18	19	14	19	29	 	5	0	88.8%	84	82	85.13	3.4
3025	15	16	18	20	18	18	15	28	 	2	3	87.6%	86	82	85.06	3.4
7832	17	15	19	19	19	17	19	25	 	 	4	89.0%	87	80	85.01	3.4
0625	18	18	19	19	20	17	19	30	2	2	0	95.3%	60	87	84.92	3.3
9509	18	19	18	16	19	14	19	27	 	2	4	89.0%	80	83	84.81	3.3
1598	19	20	15	16	17	18	17	29	 	 	0	88.8%	96	75	84.73	3.3
2148	17	14	19	18	19	18	17	29	 	4	0	88.8%	88	79	84.73	3.3
1504	19	19	19	17	20	16	 	26	2	3	0	81.2%	91	85	84.67	3.3
0977	20	18	19	17	19	20	18	26	 	1	0	92.4%	78	79	84.14	3.3
5114	17	19	18	20	19	16	19	27	 	3	0	91.2%	78	80	84.07	3.3
3443	13	18	18	16	17	16	19	26	 	3	0	84.1%	84	84	84.05	3.3
0061	16	14	13	15	18	16	16	28	 	2	0	80.0%	96	82	84.00	3.2
8098	14	17	17	18	18	18	18	29	 	2	0	87.6%	84	80	83.86	3.2
1062	20	19	18	19	20	16	20	28	 	3	0	94.1%	75	78	83.85	3.2
0859	14	18	17	17	13	16	17	25	 	 	0	80.6%	88	85	83.84	3.2
0359	17	17	16	17	20	19	19	29	 	1	0	90.6%	78	80	83.84	3.2
1279	17	20	19	20	20	18	20	29	 	5	0	95.9%	67	80	83.75	3.2
1530	15	19	20	15	11	17	18	19	 	3	0	78.8%	81	90	83.73	3.2
2207	13	13	17	18	17	15	16	28	 	3	0	80.6%	91	83	83.64	3.2
7772	17	18	11	18	20	17	18	28	 	4	0	86.5%	87	79	83.59	3.2
7314	13	17	12	16	17	19	20	28	 	3	0	83.5%	91	79	83.21	3.2
0135	17	13	19	19	19	14	16	28	 	5	0	85.3%	81	82	83.12	3.2
0120	17	18	18	20	20	16	19	15	 	5	0	84.1%	85	81	83.05	3.2
5856	17	15	17	18	19	15	19	27	 	4	0	86.5%	83	79	82.79	3.1
2330	15	17	18	17	20	17	16	30	 	5	0	88.2%	83	77	82.69	3.1
0144	15	19	19	18	17	14	15	27	 	5	1	84.9%	89	77	82.56	3.1
7546	16	19	15	15	18	15	19	28	 	1	0	85.3%	78	82	82.52	3.1
4166	17	15	18	18	19	19	15	24	 	1	0	85.3%	87	77	82.32	3.1
9195	15	17	17	18	17	17	18	30	 	5	0	87.6%	80	78	82.26	3.1
2267	19	15	18	19	17	16	19	26	 	5	0	87.6%	74	81	82.26	3.1
6451	15	12	18	19	18	19	17	28	 	3	0	85.9%	81	79	82.15	3.1
3023	20	18	20	18	18	19	18	28	 	5	0	93.5%	75	74	82.01	3.1
1736	15	11	19	19	19	18	19	27	 	5	0	86.5%	85	76	81.99	3
4590	16	16	13	15	12	14	19	29	 	5	0	78.8%	92	80	81.93	3
2148	17	17	16	16	18	16	17	28	 	5	0	85.3%	77	81	81.92	3
2104	19	17	19	18	19	16	16	28	 	2	0	89.4%	96	67	81.76	3
