last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
4897	9	16	20	20	20	20	20	19	 	20	1.67	99.80%	101	99	99.72	4.0
1768	9	16	20	20	20	20	20	19	 	20	0.00	98.80%	101	100	99.72	4.0
9442	10	16	20	20	19	20	20	20	2	20	0.00	99.40%	100	98	98.96	4.0
1203	10	16	20	19	20	19	20	19	3	20	0.00	98.19%	101	98	98.68	4.0
2059	9	16	20	20	20	20	20	19	1	20	0.00	98.80%	99	98	98.52	4.0
0365	10	16	20	18	18	20	20	19	3	20	0.00	96.99%	98	100	98.40	4.0
4211	10	16	20	19	19	20	20	19	 	20	0.00	98.19%	97	99	98.28	4.0
1706	10	15	20	20	19	20	19	19	 	20	0.67	97.99%	101	97	98.20	4.0
0673	10	16	20	20	20	20	20	19	1	20	0.33	99.60%	96	97	97.84	4.0
5049	8	16	20	18	19	20	18	18	 	20	2.00	95.78%	101	98	97.71	4.0
3372	8	16	20	20	19	19	20	20	1	20	0.00	97.59%	100	96	97.44	4.0
9605	10	16	20	20	20	19	19	20	 	20	0.00	98.80%	101	94	97.32	4.0
9681	10	16	20	20	19	20	19	19	 	20	0.33	98.39%	97	96	97.16	4.0
2091	9	16	20	20	20	20	20	19	 	20	0.00	98.80%	90	99	97.12	4.0
2977	8	16	20	20	19	20	19	20	 	20	0.00	97.59%	94	98	97.04	4.0
1504	10	16	20	20	18	17	18	20	 	20	0.00	95.78%	97	98	96.91	4.0
1019	9	15	16	20	20	20	19	18	 	20	0.00	94.58%	93	101	96.83	4.0
1250	9	16	20	19	17	19	19	20	1	20	1.00	96.39%	99	96	96.75	4.0
0029	9	16	19	19	19	18	20	19	 	20	2.00	96.99%	99	95	96.60	4.0
2280	10	16	17	19	19	19	19	20	1	20	0.33	95.98%	97	97	96.59	4.0
9554	8	16	15	19	19	18	19	20	 	20	2.00	93.98%	95	100	96.59	4.0
7353	8	16	20	20	20	19	20	19	 	20	0.00	97.59%	95	96	96.44	3.9
1867	10	16	20	19	19	18	20	19	4	20	0.00	96.99%	90	99	96.40	3.9
0625	8	15	20	18	20	18	20	20	 	20	0.00	95.78%	98	96	96.31	3.9
4369	9	16	20	19	18	19	19	18	1	20	0.00	95.18%	97	97	96.27	3.9
8487	9	15	18	18	20	18	19	19	4	20	0.33	94.18%	95	99	96.27	3.9
0933	10	16	20	20	19	16	18	17	3	20	0.00	93.98%	95	99	96.19	3.9
5768	10	16	19	19	20	20	18	18	 	20	0.00	96.39%	92	98	96.15	3.9
3999	9	16	20	20	19	19	17	19	 	20	0.00	95.78%	95	97	96.11	3.9
8417	9	16	20	20	20	19	17	17	 	20	0.00	95.18%	96	97	96.07	3.9
7772	10	16	20	20	18	18	20	18	4	20	1.33	97.19%	93	96	95.88	3.9
1691	8	16	20	20	20	19	19	17	2	20	0.00	95.78%	97	95	95.71	3.9
4516	9	16	20	20	19	20	20	19	2	20	0.00	98.19%	100	91	95.68	3.9
2478	10	16	20	20	20	18	20	19	 	20	0.67	98.59%	97	92	95.64	3.9
9700	10	15	19	19	19	19	19	20	5	20	0.00	96.39%	99	93	95.55	3.9
8122	8	16	20	20	19	18	20	19	 	20	0.67	96.79%	94	95	95.51	3.9
0116	9	16	20	20	20	18	19	20	2	20	0.00	97.59%	92	95	95.44	3.9
8831	10	16	20	20	19	20	20	16	5	20	0.00	96.99%	85	99	95.40	3.9
5412	10	16	20	19	20	20	20	20	2	20	0.00	99.40%	90	94	95.36	3.9
2542	10	16	20	19	19	19	19	18	 	20	0.67	96.79%	91	96	95.31	3.9
9978	10	15	20	19	20	19	18	18	1	20	0.00	95.78%	97	94	95.31	3.9
1968	10	16	19	20	18	20	18	18	5	20	0.00	95.78%	93	96	95.31	3.9
1719	10	16	19	18	19	20	19	18	1	20	0.00	95.78%	93	96	95.31	3.9
7548	9	16	20	20	16	18	18	19	 	20	0.00	93.98%	92	98	95.19	3.8
1660	10	16	19	20	19	19	18	18	 	20	0.00	95.78%	98	93	95.11	3.8
0137	10	16	20	20	19	20	20	16	2	20	0.00	96.99%	99	91	95.00	3.8
1598	9	16	20	20	18	16	18	19	 	20	0.00	93.98%	99	94	94.99	3.8
3025	9	16	20	20	18	19	17	19	5	20	0.33	95.38%	96	94	94.95	3.8
4809	10	16	17	18	20	19	18	17	 	20	0.67	93.78%	95	96	94.91	3.8
8183	10	16	20	20	20	19	19	18	2	20	0.00	97.59%	97	91	94.84	3.8
9041	9	16	20	19	20	19	20	18	 	20	0.00	96.99%	92	94	94.80	3.8
0453	10	16	20	20	19	18	19	18	1	20	0.00	96.39%	95	93	94.75	3.8
7070	9	16	20	20	19	19	19	20	4	20	1.00	98.19%	97	90	94.68	3.8
0904	9	16	20	19	16	19	20	19	 	20	0.00	95.18%	95	94	94.67	3.8
2165	10	16	20	20	20	18	19	17	2	20	0.00	96.39%	94	93	94.55	3.8
9502	10	16	20	17	17	19	17	18	3	20	0.00	92.77%	93	97	94.51	3.8
1054	10	16	20	19	20	20	20	17	 	20	1.00	98.19%	96	90	94.48	3.8
7314	6	16	20	18	20	19	19	20	4	20	0.00	95.18%	88	97	94.47	3.8
2203	9	16	20	19	19	17	18	20	 	20	0.00	95.18%	96	93	94.47	3.8
2745	9	16	18	19	19	19	17	17	2	20	2.33	94.18%	94	95	94.47	3.8
7639	10	16	20	20	20	20	19	19	2	18	0.00	97.59%	95	91	94.44	3.8
0478	9	16	17	19	18	19	19	19	 	20	1.00	94.58%	95	94	94.43	3.8
1613	9	16	20	20	19	19	19	19	 	20	0.00	96.99%	94	92	94.40	3.8
0359	9	16	20	20	18	18	20	20	 	20	0.00	96.99%	90	94	94.40	3.8
2321	9	16	20	19	20	18	19	20	5	18	0.00	95.78%	92	94	94.31	3.7
3368	9	15	17	20	19	20	19	17	 	20	0.33	94.18%	97	93	94.27	3.7
1364	9	16	20	20	19	18	20	20	 	20	0.00	97.59%	92	92	94.24	3.7
1061	9	16	20	20	19	19	20	19	5	20	0.00	97.59%	88	94	94.24	3.7
4166	8	16	20	19	19	18	17	18	 	20	0.00	93.37%	98	93	94.15	3.7
0147	10	15	19	18	17	18	19	19	 	20	0.00	93.37%	92	96	94.15	3.7
0791	10	16	14	19	18	17	18	17	1	20	0.00	89.76%	91	100	94.10	3.7
3185	9	16	20	19	18	20	18	18	 	20	0.00	95.18%	94	93	94.07	3.7
6451	9	16	19	20	20	18	13	18	1	20	0.00	92.17%	96	95	94.07	3.7
4423	9	16	17	20	17	19	18	20	 	20	0.00	93.98%	92	95	93.99	3.7
6219	9	16	20	20	19	19	20	18	 	20	2.00	98.19%	95	89	93.88	3.7
4506	9	15	19	17	19	17	19	18	1	20	0.00	92.17%	93	96	93.87	3.7
8250	10	16	20	19	19	19	20	19	3	20	0.00	97.59%	98	88	93.84	3.7
2085	10	16	17	20	18	18	18	20	2	20	0.00	94.58%	90	95	93.83	3.7
3161	10	16	20	18	20	17	20	18	 	20	0.33	95.98%	91	93	93.79	3.7
1771	10	16	20	20	18	19	19	18	3	20	0.00	96.39%	92	92	93.75	3.7
0915	10	16	20	19	20	17	18	19	3	20	0.00	95.78%	95	91	93.71	3.7
1593	10	16	20	19	19	20	19	19	1	20	1.00	98.19%	100	86	93.68	3.7
0546	9	16	20	20	19	19	20	18	3	20	0.00	96.99%	98	88	93.60	3.7
4314	9	14	19	18	18	19	19	19	5	20	0.00	93.37%	93	94	93.55	3.7
