last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
5546	10	15	19	20	18	17	18	18	 	20	93.37%	86	78	84	88.15	3.3
0494	 	13	18	17	18	15	19	19	3	20	83.73%	87	87	93	88.09	3.3
6204	9	16	20	20	18	18	19	18	5	20	95.18%	74	82	88	88.07	3.3
0086	9	16	20	20	17	19	17	17	2	18	92.17%	84	80	86	88.07	3.3
4444	9	16	15	17	18	19	18	16	3	20	89.16%	90	80	86	88.06	3.3
4179	8	15	20	15	13	18	13	16	5	20	83.13%	90	86	92	88.05	3.3
8161	7	16	19	16	15	19	18	17	4	20	88.55%	79	86	92	88.02	3.3
0795	7	16	19	19	18	18	18	20	5	20	93.37%	83	79	85	87.95	3.3
1122	10	15	17	15	19	17	18	19	1	20	90.36%	85	81	87	87.94	3.3
0610	10	16	20	18	19	20	17	19	3	20	95.78%	92	72	78	87.91	3.3
0383	9	11	20	19	18	18	16	17	4	20	89.16%	93	78	84	87.86	3.3
2401	8	16	20	19	17	16	19	17	1	20	91.57%	92	76	82	87.83	3.3
9925	9	15	20	18	17	16	17	19	3	20	90.96%	87	79	85	87.79	3.3
7452	10	16	15	19	13	20	18	18	 	20	89.76%	91	78	84	87.70	3.3
9938	8	15	18	17	16	17	16	11	 	20	83.13%	90	85	91	87.65	3.3
4236	9	16	20	16	18	18	19	16	 	20	91.57%	88	77	83	87.43	3.2
3036	6	15	17	17	17	14	19	17	 	20	85.54%	92	81	87	87.42	3.2
4461	9	15	19	18	13	13	17	18	4	20	85.54%	92	81	87	87.42	3.2
6644	9	16	18	19	20	20	19	19	 	20	96.39%	72	80	86	87.35	3.2
0653	9	16	20	19	19	19	19	18	2	20	95.78%	85	74	80	87.31	3.2
4710	10	16	20	20	19	20	20	17	5	20	97.59%	83	73	79	87.24	3.2
3906	9	15	20	19	19	17	19	19	1	20	94.58%	79	78	84	87.23	3.2
1126	9	15	17	17	13	17	18	18	2	20	86.75%	86	82	88	87.10	3.2
0689	10	15	17	17	16	18	17	17	 	20	88.55%	84	81	87	87.02	3.2
1545	10	16	20	20	18	19	20	18	5	15	93.98%	79	78	84	86.99	3.2
7815	10	16	18	18	20	17	19	20	3	20	95.18%	86	73	79	86.87	3.2
4714	9	16	20	17	16	18	14	18	5	20	89.16%	76	84	90	86.86	3.2
7816	8	14	17	19	16	17	16	19	1	20	87.95%	90	78	84	86.78	3.2
5896	9	15	18	18	17	19	14	18	5	18	87.95%	84	81	87	86.78	3.2
3890	10	15	20	17	18	18	20	19	4	20	94.58%	78	77	83	86.63	3.2
1066	9	16	19	20	16	14	18	19	1	20	90.96%	87	76	82	86.59	3.2
7833	10	16	18	19	19	17	16	19	 	20	92.77%	93	71	77	86.51	3.2
5548	5	15	15	19	17	16	19	18	3	20	86.75%	81	83	89	86.50	3.1
8110	7	15	19	18	19	19	17	19	3	20	92.17%	80	78	84	86.47	3.1
