last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
9697	8	16	20	19	18	19	20	19	4	20	95.78%	57	45	51	70.11	1.5
1723	8	10	12	18	14	13	17	17	3	20	77.71%	71	56	62	70.08	1.5
9999	9	11	16	16	16	0	18	18	5	20	74.70%	75	57	63	70.08	1.5
5828	9	16	20	20	18	 	 	 	2	20	62.05%	88	63	69	70.02	1.5
1455	10	15	18	15	18	0	16	17	1	20	77.71%	81	50	56	69.68	1.5
7146	9	14	20	19	17	20	17	17	 	20	92.17%	68	41	47	69.27	1.4
4135	9	16	14	17	17	16	17	18	5	20	86.75%	64	48	54	69.10	1.4
5671	10	15	16	16	11	16	18	17	3	20	83.73%	74	46	52	69.09	1.4
7134	10	16	19	15	17	20	16	18	 	20	90.96%	63	44	50	68.99	1.4
1409	7	16	19	17	19	14	13	19	5	20	86.75%	66	46	52	68.70	1.4
0937	8	 	18	16	11	10	15	15	5	18	66.87%	77	60	66	68.55	1.4
1380	9	13	0	18	13	13	12	17	2	20	69.28%	73	59	65	68.31	1.3
2883	8	15	16	15	13	 	16	18	2	20	72.89%	71	56	62	68.16	1.3
1036	9	12	13	18	7	18	18	17	3	20	79.52%	87	41	47	68.01	1.3
1901	8	15	19	 	10	14	 	19	2	20	63.25%	81	60	66	67.90	1.3
6134	9	15	17	 	16	13	16	18	5	20	74.70%	80	49	55	67.88	1.3
1131	10	13	17	16	18	 	 	 	 	18	55.42%	100	58	64	67.77	1.3
7678	8	14	14	17	10	17	16	16	 	20	79.52%	79	43	49	67.21	1.2
9653	8	14	19	19	17	9	 	16	5	20	73.49%	85	46	52	67.20	1.2
7861	9	16	18	20	19	0	14	15	3	20	78.92%	80	43	49	67.17	1.2
1547	10	16	20	17	16	0	13	19	5	20	78.92%	64	51	57	67.17	1.2
2925	10	15	20	19	18	16	20	17	1	20	93.37%	57	40	46	67.15	1.2
0278	9	16	19	18	18	 	13	17	1	20	78.31%	71	48	54	67.13	1.2
3751	9	15	17	13	13	12	18	5	5	20	73.49%	78	49	55	67.00	1.2
6698	8	16	16	19	19	16	19	12	5	20	87.35%	72	38	44	66.94	1.2
5904	8	15	16	16	16	 	 	12	5	15	59.04%	88	58	64	66.81	1.2
9849	9	11	18	17	16	15	15	16	5	20	82.53%	55	51	57	66.81	1.2
8229	9	16	15	12	17	 	11	17	5	20	70.48%	83	49	55	66.79	1.2
0144	10	15	 	18	14	 	 	 	 	20	46.39%	83	73	79	66.75	1.2
0047	9	15	16	14	14	12	18	18	2	20	81.93%	53	51	57	66.17	1.1
1845	9	16	15	15	16	19	20	 	5	20	78.31%	72	45	51	66.13	1.1
9490	10	16	18	20	14	20	20	20	2	20	95.18%	58	34	40	65.67	1.1
9782	9	16	7	10	 	12	11	14	 	20	59.64%	70	62	68	65.06	1
3716	7	6	19	19	14	13	18	17	3	20	80.12%	61	46	52	65.05	1
3527	9	16	20	16	17	 	12	18	1	20	77.11%	74	42	48	64.84	1
3952	8	14	11	12	15	4	 	 	1	20	50.60%	85	63	69	64.84	1
6036	8	15	20	14	 	12	7	16	5	20	67.47%	69	54	60	64.79	1
1225	9	13	20	19	14	16	4	16	4	20	78.92%	67	43	49	64.57	1
9723	10	15	19	18	13	10	15	11	5	20	78.92%	68	42	48	64.37	0.9
5932	6	13	17	18	18	15	17	16	5	20	84.34%	69	36	42	64.33	0.9
1272	10	15	15	10	15	12	17	17	 	20	78.92%	57	45	51	63.37	0.8
0817	9	 	17	15	18	15	6	 	4	20	60.24%	73	55	61	63.10	0.8
7871	9	15	17	18	17	0	16	19	5	20	78.92%	63	40	46	62.57	0.8
0173	9	16	20	19	17	 	17	16	5	20	80.72%	55	42	48	62.49	0.7
4448	9	15	19	20	17	 	 	 	 	12	55.42%	75	57	63	62.37	0.7
0629	9	15	19	18	15	0	18	19	5	20	80.12%	71	32	38	61.45	0.7
0089	6	16	18	18	8	20	8	14	 	20	77.11%	55	43	49	61.44	0.7
9135	10	15	18	19	19	 	 	17	2	20	71.08%	71	41	47	61.43	0.7
7687	8	15	17	17	16	15	17	18	3	12	81.33%	65	33	39	61.13	0.7
5813	10	14	9	14	13	17	12	12	3	20	72.89%	52	47	53	60.76	0.7
0237	8	15	18	19	17	17	 	16	5	20	78.31%	51	42	48	60.73	0.7
1480	8	15	20	16	17	15	 	17	5	20	77.11%	69	34	40	60.64	0.7
4189	9	16	16	14	16	0	8	15	 	20	68.67%	70	41	47	60.27	0.7
0831	9	15	20	17	 	 	 	 	 	20	48.80%	80	55	61	59.92	0.7
0006	9	15	19	17	18	17	20	19	1	20	92.77%	58	21	27	59.51	0.7
8252	9	14	17	15	13	18	 	18	5	20	74.70%	67	34	40	59.28	0.7
9340	8	15	9	11	5	10	3	 	5	20	48.80%	74	56	62	59.12	0.7
4454	9	15	19	18	16	 	 	 	2	9	51.81%	77	51	57	58.92	0.7
4920	8	11	20	19	19	0	16	17	5	20	78.31%	50	37	43	58.53	0.7
1374	7	15	18	17	17	15	 	18	1	20	76.51%	66	29	35	57.80	0.7
2167	10	16	0	18	15	 	 	15	3	20	56.63%	81	39	45	56.85	0.7
1892	9	11	13	10	18	13	 	16	4	20	66.27%	65	36	42	56.31	0
8727	9	15	14	 	6	0	0	 	5	20	38.55%	74	59	65	56.22	0
6033	9	15	13	13	14	17	 	 	3	20	60.84%	73	37	43	56.14	0
5141	9	13	 	13	 	15	14	19	4	20	62.05%	63	40	46	55.82	0
2587	9	13	13	17	12	 	 	 	5	20	50.60%	74	43	49	54.64	0
6084	8	13	14	17	0	12	15	19	5	20	71.08%	65	27	33	54.63	0
2607	7	10	16	13	15	9	17	20	1	20	76.51%	78	15	21	54.60	0
8203	7	15	18	18	16	 	3	 	2	20	58.43%	62	40	46	54.17	0
9340	9	13	17	 	14	5	7	14	5	18	58.43%	72	34	40	53.77	0
0218	6	14	16	13	13	5	3	17	5	20	64.46%	47	38	44	52.78	0
0882	8	0	19	16	18	15	18	15	5	0	65.66%	 	60	66	52.67	0.7
1007	8	13	11	14	0	0	8	10	5	20	50.60%	74	38	44	52.64	0
7751	5	14	10	11	10	8	6	13	3	20	58.43%	54	40	46	52.57	0
4654	8	9	20	9	8	0	 	11	3	20	51.20%	65	40	46	51.88	0
8714	9	14	17	 	 	11	 	 	 	18	41.57%	84	40	46	51.83	0
7637	9	13	13	17	15	9	4	 	3	20	60.24%	56	31	37	50.10	0
3543	10	14	18	18	 	 	11	 	5	18	53.61%	58	35	41	49.45	0
6720	3	5	18	16	16	10	0	16	5	20	62.65%	49	30	36	49.26	0
8179	 	 	 	 	16	17	19	20	1	15	52.41%	55	36	42	48.76	0
2989	5	15	17	17	17	0	15	14	5	20	72.29%	59	14	20	48.72	0
3854	9	11	0	0	13	3	 	15	5	20	42.77%	64	41	47	48.71	0
4116	8	15	15	14	 	5	4	 	5	18	47.59%	67	34	40	48.44	0
4694	9	15	17	 	15	 	 	 	 	18	44.58%	75	33	39	48.43	0
1212	9	15	20	17	13	 	 	 	3	6	48.19%	62	35	41	48.08	0
5621	8	14	18	13	14	0	 	 	1	20	52.41%	44	39	45	47.76	0
5164	6	8	17	17	 	8	8	10	5	20	56.63%	42	33	39	46.65	0
9507	9	16	19	18	15	 	 	 	5	20	58.43%	67	17	23	45.97	0
7124	9	16	19	19	19	16	 	 	2	12	66.27%	97	 	 	45.91	0
0505	8	 	16	4	5	1	0	 	5	20	32.53%	76	37	43	45.41	0
0320	9	15	20	19	13	 	 	 	5	20	57.83%	54	22	28	45.13	0
5999	10	14	 	 	0	 	 	3	 	20	28.31%	71	43	49	45.13	0
6956	8	14	14	17	14	 	 	20	 	20	64.46%	32	26	32	44.98	0
1608	9	15	 	 	14	 	 	10	5	18	39.76%	71	31	37	44.90	0
2614	10	15	20	0	 	 	 	17	3	20	49.40%	53	29	35	44.36	0
8303	9	15	18	17	15	8	12	 	2	20	68.67%	57	6	12	43.67	0
1635	6	15	19	14	13	10	 	 	5	20	58.43%	50	17	23	42.57	0
8857	10	14	12	14	8	8	 	 	4	20	51.81%	39	28	34	42.12	0
2221	8	10	19	 	13	 	 	15	 	20	51.20%	57	17	23	41.08	0
3912	8	15	 	9	7	 	0	7	5	20	39.76%	55	25	31	39.30	0
2560	10	11	16	9	8	 	 	 	5	3	34.34%	54	29	35	38.53	0
6296	7	16	17	16	18	8	 	 	4	9	54.82%	75	 	 	36.93	0
2796	10	16	20	14	12	 	 	 	5	18	54.22%	56	4	10	36.89	0
9903	8	 	 	5	13	15	 	16	5	6	37.95%	35	28	34	35.78	0
0055	9	16	18	15	15	5	 	 	5	12	54.22%	70	 	 	35.69	0
9668	9	16	 	 	 	 	 	 	 	18	25.90%	46	34	40	35.56	0
0421	10	15	19	9	14	 	 	 	1	20	52.41%	71	 	 	35.16	0
9863	6	15	16	 	 	 	 	 	 	0	22.29%	59	30	36	35.12	0
2888	8	15	18	18	8	6	 	 	2	20	56.02%	63	 	 	35.01	0
1356	9	 	 	 	 	16	 	 	 	6	18.67%	66	28	34	34.27	0
1065	9	10	6	18	19	4	 	 	4	20	51.81%	63	 	 	33.32	0
7425	9	15	 	 	 	 	 	 	3	20	26.51%	75	13	19	33.20	0
1749	 	14	 	18	 	0	 	17	3	20	41.57%	27	18	24	31.63	0
0213	10	15	14	 	18	 	 	 	5	15	43.37%	71	 	 	31.55	0
1247	9	15	0	0	 	 	 	 	2	20	26.51%	46	22	28	31.00	0
1953	8	 	19	7	3	 	 	 	5	20	34.34%	61	5	11	30.33	0
7510	8	13	18	 	4	 	 	 	2	20	37.95%	72	 	 	29.58	0
6979	10	15	17	19	 	18	 	 	 	20	59.64%	24	 	 	28.66	0
1662	8	16	0	14	13	 	 	 	5	20	42.77%	55	 	 	28.11	0
0780	7	14	19	16	 	 	 	 	 	20	45.78%	41	 	 	26.51	0
0694	8	15	10	 	 	 	 	 	 	20	31.93%	67	 	 	26.17	0
3575	9	13	 	 	 	 	 	 	 	20	25.30%	79	 	 	25.92	0
9955	6	15	10	13	9	 	 	 	3	0	31.93%	60	 	 	24.77	0
0939	5	 	18	14	 	 	 	 	 	18	33.13%	54	 	 	24.05	0
1682	 	 	 	 	 	 	 	 	 	0	0.00%	66	17	23	22.40	0
2506	9	14	10	9	 	4	 	 	5	20	39.76%	29	 	 	21.70	0
9979	10	15	 	12	 	 	 	 	4	12	29.52%	41	 	 	20.01	0
2399	 	 	 	 	 	 	 	 	 	18	10.84%	44	6	12	17.94	0
4071	6	 	 	3	 	 	 	 	2	15	14.46%	42	3	9	17.78	0
1842	6	 	 	 	 	 	 	 	 	20	15.66%	55	 	 	17.27	0
1190	8	4	6	15	 	 	 	 	 	12	27.11%	 	 	 	10.84	0
8915	9	 	 	 	 	 	 	 	 	0	5.42%	38	 	 	9.77	0
0520	7	9	8	 	 	 	 	 	2	15	23.49%	 	 	 	9.40	0
7307	6	9	 	 	 	 	 	 	3	15	18.07%	 	 	 	7.23	0
5263	10	 	 	 	 	 	 	 	 	18	16.87%	 	 	 	6.75	0
2502	6	 	 	 	 	 	 	 	 	12	10.84%	9	 	 	6.14	0
0297	 	 	 	 	 	 	 	 	 	20	12.05%	 	 	 	4.82	0
9595	 	 	 	 	 	 	 	 	 	18	10.84%	 	 	 	4.34	0
8201	9	 	 	 	 	 	 	 	 	9	10.84%	 	 	 	4.34	0
4697	 	 	 	 	 	 	 	 	 	12	7.23%	 	 	 	2.89	0
9816	 	 	 	 	 	 	 	 	 	0	0.00%	 	 	 	0.00	0
4821	 	 	 	 	 	 	 	 	 	0	0.00%	 	 	 	0.00	0

mean	8.9	15.0	17.8	17.4	16.4	15.8	17.0	17.7	3.2	19.3	80.95%	79.5	68.1	74.1	76.0	2.4
median	9	15	19	18	17	17	18	18	3	20	88.55%	82	74	80	82.8	2.8
