last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
8110	18	15	16	18	18	19	19	27	 	1	88.24%	91	96	84	88.09	3.5
5766	19	19	18	16	20	15	19	28	2	1	91.76%	89	94	81	87.91	3.5
9289	18	20	18	18	20	15	17	27	2	 	91.18%	80	85	86	87.87	3.5
4498	19	19	19	18	18	18	20	27	 	5	92.94%	77	82	85	87.58	3.5
0414	19	18	14	18	17	14	16	25	 	5	82.94%	84	89	91	87.38	3.5
2287	19	20	20	20	18	18	19	30	2	2	97.65%	92	97	72	87.26	3.5
0873	19	16	18	18	19	16	20	28	 	2	90.59%	90	95	80	87.24	3.5
4612	17	14	18	18	18	14	15	27	 	5	82.94%	91	96	87	87.18	3.5
4847	19	17	20	18	19	16	19	30	 	5	92.94%	75	80	85	87.18	3.5
8866	20	20	20	20	20	20	19	30	 	5	99.41%	70	75	81	87.16	3.5
0460	19	20	18	14	19	16	18	27	 	5	88.82%	85	90	84	87.13	3.5
1354	20	20	18	20	19	17	19	27	 	5	94.12%	74	79	84	87.05	3.5
8236	20	18	19	16	18	15	17	28	 	5	88.82%	84	89	84	86.93	3.5
1290	19	20	18	20	18	17	20	28	 	5	94.12%	87	92	77	86.85	3.5
2805	19	16	15	18	20	19	18	28	 	 	90.00%	73	78	88	86.80	3.5
4500	18	18	13	17	18	18	19	27	 	4	87.06%	74	79	90	86.62	3.4
1474	18	15	13	16	16	12	16	29	 	3	79.41%	87	92	91	86.56	3.4
7833	20	16	19	18	16	15	18	23	 	3	85.29%	89	94	84	86.52	3.4
2447	19	18	18	20	19	20	18	23	 	5	91.18%	67	72	89	86.47	3.4
8341	19	18	19	19	20	19	20	29	 	2	95.88%	63	68	86	86.35	3.4
0351	16	17	18	16	19	14	19	21	 	2	82.35%	88	93	87	86.34	3.4
9454	18	18	20	19	17	14	19	26	 	5	88.82%	69	74	90	86.33	3.4
8857	15	15	17	16	19	17	19	26	 	5	84.71%	79	84	89	86.28	3.4
5348	18	20	19	19	19	17	19	28	 	1	93.53%	72	77	83	86.01	3.4
4013	19	19	19	16	18	18	20	28	 	2	92.35%	68	73	86	85.94	3.4
4227	20	20	18	16	20	15	17	30	 	5	91.76%	85	90	78	85.91	3.4
0696	19	13	18	15	19	18	17	28	 	5	86.47%	83	88	84	85.79	3.3
0954	20	18	19	20	19	16	17	29	 	5	92.94%	78	83	80	85.78	3.3
1152	19	16	18	16	15	16	17	29	 	5	85.88%	88	93	82	85.75	3.3
2292	19	15	19	18	20	19	19	27	 	5	91.76%	96	101	72	85.71	3.3
7771	19	17	17	19	20	16	19	28	 	1	91.18%	81	86	80	85.67	3.3
1737	19	17	18	15	19	16	18	25	 	3	86.47%	78	83	86	85.59	3.3
8366	17	19	17	19	19	17	20	28	 	5	91.76%	79	84	80	85.51	3.3
0097	17	17	17	18	17	15	19	29	 	5	87.65%	71	76	88	85.46	3.3
2241	18	19	18	19	19	18	19	28	2	 	94.12%	68	73	83	85.45	3.3
3279	19	18	10	17	17	17	18	27	 	 	84.12%	82	87	86	85.45	3.3
0534	18	16	19	17	16	18	19	24	 	5	86.47%	93	98	78	85.39	3.3
0541	20	18	18	18	18	17	19	30	 	2	92.94%	76	81	80	85.38	3.3
7179	17	16	19	19	17	17	17	24	 	4	85.88%	82	87	84	85.35	3.3
2939	18	17	19	17	20	18	19	28	 	2	91.76%	66	71	86	85.31	3.3
0383	14	17	18	18	19	16	16	25	 	5	84.12%	89	94	82	85.25	3.3
2545	19	20	20	19	20	18	19	28	 	 	95.88%	65	70	82	85.15	3.3
6139	19	19	18	17	18	18	18	29	0	3	91.76%	75	80	81	85.11	3.3
1598	14	18	18	17	18	17	17	25	 	 	84.71%	89	94	81	85.08	3.3
8863	19	18	19	18	16	14	20	27	 	5	88.82%	62	67	90	84.93	3.3
2370	20	17	16	19	20	20	17	27	 	1	91.76%	68	73	84	84.91	3.3
0584	20	17	19	19	19	14	18	27	 	5	90.00%	75	80	82	84.80	3.3
0653	18	18	16	17	16	15	18	28	 	1	85.88%	81	86	83	84.75	3.2
0375	17	18	17	20	19	15	18	20	 	5	84.71%	83	88	83	84.68	3.2
2844	17	18	19	19	19	10	19	28	2	4	88.82%	80	85	80	84.53	3.2
6204	19	15	16	18	18	20	20	28	 	4	90.59%	81	86	77	84.24	3.2
9087	18	14	18	17	19	16	20	25	 	 	86.47%	73	78	85	84.19	3.2
1821	19	14	19	17	17	14	19	30	2	4	88.82%	76	81	81	84.13	3.2
1492	19	20	18	18	8	19	19	28	 	5	87.65%	71	76	84	83.86	3.2
