code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	new mid	final	total	grade
92352	16	17	17	15	16	7	13	23	 	5	0	72.9%	63	65	67	68.98	2.1
92430	16	16	16	16	14	19	18	21	 	5	0	80.0%	76	78	78	78.80	2.9
92652	14	17	16	18	15	19	12	28	 	1	0	81.8%	62	64	61	69.91	2.2
92682	20	18	18	20	19	20	20	30	2	4	2	98.6%	85	87	83	90.05	3.9
92938	16	18	17	15	18	16	18	24	 	5	0	83.5%	47	49	62	68.01	2.1
92974	20	19	20	18	15	18	16	15	 	2	0	82.9%	95	97	83	85.78	3.5
92974	17	17	12	17	18	10	17	24	 	5	0	77.6%	77	79	61	71.26	2.3
93006	17	19	17	15	16	16	17	27	 	5	0	84.7%	75	77	79	80.88	3.1
93045	15	15	13	15	15	15	17	26	 	5	0	77.1%	81	83	68	74.62	2.6
93106	18	16	14	15	13	13	15	26	 	2	0	76.5%	75	77	80	77.99	2.9
93129	16	17	19	20	20	16	19	29	2	2	0	92.9%	62	64	75	79.98	3.0
93528	16	16	19	18	16	20	14	26	 	2	6	86.5%	64	66	65	73.79	2.5
93575	17	18	17	19	20	19	18	28	 	2	0	91.8%	98	100	80	88.71	3.8
93678	16	18	15	16	15	18	19	29	0	4	0	85.9%	88	90	86	86.75	3.6
93742	18	13	8	13	13	6	18	16	 	5	0	61.8%	61	63	63	62.51	1.6
93805	17	17	16	14	17	13	19	29	 	2	0	83.5%	64	66	81	79.01	3.0
93808	19	16	5	17	11	16	16	25	 	0	0	73.5%	75	77	72	73.61	2.5
93897	16	13	15	15	8	18	12	22	2	3	0	71.2%	51	53	43	56.27	1.1
93940	20	18	20	18	20	18	19	30	2	0	7	98.4%	92	94	86	92.57	4
94321	18	18	19	16	20	17	18	29	 	2	0	91.2%	79	81	71	81.07	3.1
94598	18	18	18	18	7	17	16	21	 	4	0	78.2%	35	37	7	41.49	0.0
94640	13	15	13	9	10	16	14	16	 	2	0	62.4%	86	88	69	70.14	2.2
94684	18	17	18	19	19	20	19	28	2	0	0	94.1%	93	95	80	88.65	3.8
94711	17	18	11	19	19	17	19	30	2	4	1	89.6%	94	96	80	87.04	3.7
94720	17	17	19	14	14	17	16	18	 	5	0	77.6%	81	83	69	75.26	2.7
94728	16	14	13	15	16	18	17	26	 	1	0	79.4%	81	83	70	76.36	2.7
94737	17	16	16	17	18	12	18	25	 	5	0	81.8%	56	58	55	66.31	1.9
94776	17	17	12	14	17	 	0	22	 	5	6	59.4%	79	81	71	68.36	2.1
94861	17	18	20	18	19	18	19	30	 	5	0	93.5%	73	75	78	83.61	3.3
94956	16	18	17	16	18	14	17	29	 	3	0	85.3%	68	70	79	79.72	3.0
94988	19	16	20	18	20	17	19	30	 	0	0	93.5%	85	87	73	84.01	3.4
95314	16	19	17	19	19	17	15	30	 	3	0	89.4%	82	84	76	82.96	3.3
95562	16	17	15	17	14	14	15	24	 	4	0	77.6%	90	92	57	72.26	2.4
95570	15	16	15	16	19	17	14	25	 	5	0	80.6%	75	77	72	76.44	2.7
95636	15	13	13	14	17	16	13	27	 	5	0	75.3%	78	80	75	76.12	2.7
95854	18	17	16	17	19	18	19	30	0	0	9	92.4%	92	94	83	88.94	3.8
96279	16	15	13	7	16	10	18	13	 	3	0	63.5%	60	62	69	65.41	1.8
96462	17	16	17	20	17	18	13	13	 	5	0	77.1%	95	97	79	81.82	3.2
96599	18	17	17	18	20	19	17	25	 	5	3	89.4%	51	53	49	65.96	1.9
96662	15	18	18	13	16	15	10	18	 	5	0	72.4%	68	70	72	71.74	2.4
96665	16	16	16	16	17	14	17	25	 	5	0	80.6%	82	84	81	81.44	3.2
96820	15	16	13	16	 	15	17	27	 	2	0	70.0%	69	71	62	67.00	2.0
96848	14	18	13	9	14	 	 	 	 	4	0	40.0%	69	71	62	55.00	1.0
96888	10	15	14	15	13	16	12	24	 	5	0	70.0%	66	68	73	70.80	2.3
97042	14	16	17	12	19	16	19	28	 	1	0	82.9%	99	100	82	85.98	3.6
97080	16	17	18	17	18	17	17	28	 	2	3	87.6%	65	67	78	79.66	3.0
97104	15	19	18	19	20	17	18	29	 	2	0	91.2%	83	85	84	87.07	3.7
