code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	new mid	final	total	grade
28978	16	17	17	19	20	16	18	30	2	0	9	92.9%	90	92	84	89.18	3.8
29163	19	20	17	18	18	18	18	18	 	5	0	85.9%	97	99	72	82.95	3.3
29169	14	16	19	17	19	17	18	29	 	5	0	87.6%	92	94	69	81.46	3.2
29172	14	16	19	19	16	18	17	26	 	2	0	85.3%	74	76	76	79.72	3.0
29200	15	18	12	15	17	17	12	25	 	5	0	77.1%	71	73	38	60.62	1.5
29275	16	17	17	18	20	18	16	28	 	5	0	88.2%	64	66	64	74.09	2.6
29323	16	17	18	16	18	15	14	27	 	4	0	82.9%	68	70	61	71.58	2.4
29595	15	16	18	17	17	11	7	6	 	4	0	62.9%	83	85	70	70.18	2.2
29870	17	14	13	18	13	17	17	25	 	4	0	78.8%	52	54	38	57.53	1.2
30002	18	17	14	11	17	17	18	22	 	4	0	78.8%	58	60	60	67.53	2.0
30099	15	16	12	18	14	17	16	26	 	3	0	78.8%	85	87	72	77.73	2.9
30131	18	17	17	18	17	18	19	27	 	2	0	88.8%	82	84	75	82.33	3.2
30781	17	16	16	16	18	16	15	28	 	3	0	83.5%	75	77	79	80.41	3.1
30837	19	16	17	17	19	16	12	26	 	0	0	83.5%	71	73	77	78.81	2.9
30896	17	17	17	18	18	16	18	29	 	4	0	88.2%	76	78	73	80.09	3.0
30898	15	15	13	8	13	14	15	14	 	5	0	62.9%	60	62	50	57.58	1.2
30901	15	17	14	14	14	15	13	24	 	5	0	74.1%	47	49	66	65.85	1.9
30927	20	18	20	20	18	20	20	30	 	0	0	97.6%	93	95	76	88.46	3.8
31099	16	17	18	17	19	16	17	29	0	3	7	89.0%	86	88	86	87.61	3.7
31302	19	17	19	17	15	17	18	26	 	0	0	87.1%	73	75	76	80.22	3.1
31436	17	17	18	20	20	14	20	29	2	0	0	92.4%	85	87	78	85.54	3.5
31922	19	19	18	15	17	15	14	28	 	2	0	85.3%	84	86	62	76.12	2.7
31985	18	16	12	16	15	15	18	26	 	5	0	80.0%	64	66	70	73.20	2.5
32042	17	16	20	17	18	4	 	 	 	5	0	54.1%	51	53	40	48.25	0.0
32077	18	19	19	17	16	17	18	27	 	3	0	88.8%	83	85	78	83.73	3.3
32079	13	16	17	17	18	19	16	29	 	1	0	85.3%	84	86	74	80.92	3.1
32079	16	16	14	16	17	17	16	24	 	2	0	80.0%	90	92	65	76.40	2.7
32107	18	16	11	17	17	11	11	22	 	4	0	72.4%	47	49	56	61.14	1.5
32141	18	18	17	16	19	15	18	29	 	1	0	88.2%	54	56	75	76.49	2.8
32399	19	16	18	16	19	19	15	28	 	5	0	88.2%	68	70	75	79.29	3.0
32810	18	17	18	17	20	20	20	30	 	2	0	94.1%	85	87	77	85.85	3.5
32830	20	16	20	13	17	16	15	30	 	1	0	86.5%	81	83	55	73.19	2.5
32850	16	15	17	10	15	14	13	23	 	5	0	72.4%	75	77	66	70.74	2.3
32946	17	14	17	19	18	15	17	22	 	2	0	81.8%	92	94	85	85.51	3.5
33077	15	20	16	17	16	20	9	8	 	5	0	71.2%	66	68	56	64.47	1.8
33170	17	16	18	20	17	15	 	20	 	5	0	72.4%	64	66	59	65.74	1.9
33647	17	16	20	19	17	16	19	29	 	4	0	90.0%	91	93	73	83.80	3.3
33740	16	17	15	17	18	17	0	 	 	3	0	58.8%	53	55	 	34.53	0.0
33843	18	16	16	9	15	13	11	26	 	0	0	72.9%	85	87	61	70.98	2.3
33966	16	17	15	18	16	15	13	28	 	3	0	81.2%	74	76	70	75.67	2.7
34126	14	14	16	16	16	14	15	28	 	3	0	78.2%	89	91	76	79.89	3.0
35055	17	16	17	14	11	14	19	22	 	0	0	76.5%	77	79	71	74.79	2.6
35162	19	15	19	18	17	19	19	30	 	4	0	91.8%	77	79	95	90.51	3.9
36083	16	18	19	15	17	20	17	28	2	0	1	89.6%	99	100	81	88.24	3.7
36088	15	17	15	17	11	17	15	26	 	5	0	78.2%	54	56	69	70.09	2.2
37237	17	16	15	10	13	11	13	26	 	5	0	71.2%	76	78	42	60.87	1.5
38714	17	18	19	19	20	20	17	27	2	1	0	93.5%	85	87	83	88.01	3.7
38775	15	17	15	18	14	15	16	6	 	5	0	68.2%	67	69	56	63.49	1.7
38936	16	17	11	18	19	19	19	29	 	3	0	87.1%	84	86	74	81.62	3.2
39260	18	18	19	18	18	18	19	30	 	1	0	92.9%	92	94	72	84.78	3.4
39557	17	18	18	18	19	20	18	30	2	3	9	95.9%	83	85	83	88.55	3.8
39659	19	17	19	17	20	16	17	27	1	5	0	90.0%	94	96	84	88.80	3.8
39737	16	12	15	10	18	12	12	26	 	3	5	72.2%	85	87	72	75.06	2.6
39831	18	19	20	20	19	20	18	28	2	2	9	98.2%	100	100	86	93.69	4
40461	19	13	17	16	16	13	17	29	 	3	0	82.4%	83	85	77	80.74	3.1
40622	17	16	18	17	19	18	17	21	 	1	0	84.1%	90	92	83	85.25	3.5
41053	16	16	18	16	15	15	18	20	 	5	0	78.8%	61	63	61	68.53	2.1
41330	19	19	16	18	18	16	19	25	 	4	0	88.2%	84	86	74	82.09	3.2
41978	20	16	19	18	20	19	20	29	 	5	0	94.7%	97	99	79	89.28	3.8
42007	17	14	15	18	16	19	17	26	 	2	0	83.5%	67	69	79	78.81	2.9
42288	18	19	18	17	17	20	20	28	 	4	0	92.4%	70	72	77	82.14	3.2
42353	16	16	17	17	18	17	19	26	 	5	0	85.9%	77	79	69	77.75	2.9
42381	 	16	19	17	14	16	 	22	 	3	0	61.2%	68	70	81	70.87	2.3
42383	4	15	13	17	16	12	15	22	 	2	4	67.8%	67	69	68	68.14	2.1
42386	16	16	18	18	18	17	19	29	2	4	0	90.0%	85	87	82	86.20	3.6
42415	16	19	16	16	16	15	16	25	2	4	1	83.1%	66	68	74	76.45	2.7
42967	20	20	19	19	19	19	20	29	 	1	0	97.1%	64	66	70	80.02	3.0
42996	17	17	18	17	18	18	17	29	 	3	0	88.8%	96	98	77	85.93	3.5
43029	19	19	19	20	19	19	20	30	 	2	1	97.3%	80	82	73	84.50	3.4
43071	17	16	17	16	 	17	16	12	 	5	0	65.3%	95	97	69	73.12	2.5
43127	16	16	16	18	16	16	19	29	 	1	0	85.9%	98	100	81	86.75	3.6
43281	16	14	17	17	17	15	18	27	 	5	0	82.9%	74	76	73	77.58	2.8
43316	17	15	16	19	15	14	19	29	 	5	0	84.7%	67	69	73	76.88	2.8
43403	15	17	16	16	14	15	20	28	 	4	0	82.9%	89	91	80	83.38	3.3
44080	16	15	17	15	15	10	17	 	 	3	0	61.8%	80	82	52	61.91	1.6
44117	16	18	20	20	19	19	18	28	2	5	9	95.9%	100	100	90	94.35	4
44240	19	17	9	16	17	13	18	22	 	5	0	77.1%	93	95	77	80.62	3.1
44320	17	15	16	19	19	15	17	25	 	2	0	84.1%	68	70	73	76.85	2.8
44685	16	14	16	17	16	17	15	21	 	0	0	77.6%	68	70	62	69.86	2.2
44823	17	14	16	16	18	17	17	28	2	3	3	85.9%	93	95	88	88.55	3.8
44853	16	17	15	18	16	17	20	29	2	1	8	89.8%	87	89	80	85.72	3.5
44953	18	16	14	19	19	18	18	30	2	0	9	92.4%	96	98	85	90.54	3.9
45075	11	13	15	17	10	14	16	22	 	5	0	69.4%	56	58	45	57.36	1.2
45142	17	16	18	19	20	17	17	28	 	0	5	90.4%	61	63	78	79.96	3.0
45257	16	15	18	17	19	17	19	23	 	3	0	84.7%	72	74	61	73.08	2.5
45418	18	18	16	18	19	15	20	28	2	0	0	90.6%	84	86	79	85.04	3.4
45453	16	19	18	15	16	18	17	28	 	3	0	86.5%	95	97	86	88.39	3.7
45531	16	17	15	17	19	16	15	24	 	5	0	81.8%	68	70	75	76.71	2.8
45910	17	18	18	20	18	16	17	27	 	3	0	88.8%	61	63	71	76.53	2.8
46046	15	17	17	17	14	13	15	27	 	0	0	79.4%	88	90	76	80.16	3.0
46137	16	18	13	16	18	17	15	29	 	3	2	83.9%	95	97	75	82.97	3.3
46198	17	16	17	17	17	13	13	25	 	3	0	79.4%	79	81	77	78.76	2.9
46285	16	15	20	17	19	18	19	29	 	5	0	90.0%	76	78	73	80.80	3.1
46716	17	17	18	19	18	18	18	26	 	2	0	88.8%	58	60	72	76.33	2.7
46745	18	17	17	19	19	16	19	30	2	2	8	93.9%	99	100	79	89.17	3.8
46902	16	16	18	19	15	15	20	28	 	4	0	86.5%	68	70	73	77.79	2.9
47038	17	18	18	18	20	18	20	30	 	2	0	93.5%	86	88	88	90.21	3.9
47097	17	17	17	18	18	17	14	23	 	5	0	82.9%	65	67	77	77.38	2.8
47159	14	18	19	19	19	13	17	28	2	1	0	87.6%	97	99	88	90.06	3.9
47159	15	16	17	17	16	17	19	27	 	5	0	84.7%	69	71	80	80.08	3.0
47160	18	14	19	16	17	16	14	28	 	3	0	83.5%	52	54	63	69.41	2.2
47247	18	16	17	19	19	17	16	28	 	3	0	88.2%	87	89	80	85.09	3.5
47252	19	17	16	20	20	18	19	26	 	4	0	91.2%	79	81	70	80.67	3.1
47736	19	20	20	19	19	19	17	30	 	5	0	95.9%	99	100	74	87.95	3.7
47982	18	19	14	17	17	17	17	24	 	3	0	84.1%	78	80	77	80.45	3.1
48087	20	20	19	19	15	17	18	26	2	3	0	91.8%	98	100	93	93.91	4
48173	15	16	17	10	17	16	15	 	 	4	0	62.4%	60	62	42	54.14	0.9
48273	20	19	20	20	20	18	20	30	2	0	0	99.4%	99	100	100	99.76	4
48560	18	18	18	20	20	18	20	27	 	0	0	93.5%	95	97	81	89.21	3.8
48606	17	16	19	19	15	14	14	26	 	1	0	82.4%	99	100	90	88.94	3.8
48642	8	12	14	17	16	11	11	25	 	5	0	67.1%	43	45	39	51.42	0.7
48755	16	16	17	19	20	19	19	27	2	5	8	92.7%	90	92	82	88.30	3.7
48794	19	16	18	18	20	19	19	30	 	0	8	95.1%	96	98	86	92.04	4
48849	16	19	18	19	16	17	19	30	2	0	0	91.8%	98	100	76	87.11	3.7
48850	19	16	19	18	19	20	18	27	2	0	0	92.9%	94	96	92	93.18	4
49622	17	18	18	18	16	17	14	26	 	4	0	84.7%	70	72	66	74.68	2.6
49630	15	16	17	13	16	14	3	20	 	5	0	67.1%	67	69	62	65.42	1.8
49727	11	10	11	14	10	9	10	19	 	3	0	55.3%	91	93	71	69.12	2.2
49746	12	17	15	15	16	16	14	27	 	0	0	77.6%	73	75	63	71.26	2.3
49813	17	17	19	15	15	18	18	25	 	5	0	84.7%	73	75	45	66.88	2.0
49859	19	17	18	19	20	19	20	30	2	5	0	96.5%	47	49	66	74.79	2.6
49966	16	18	19	17	20	13	14	28	 	4	0	85.3%	69	71	82	81.12	3.1
50129	17	17	18	16	18	16	17	25	 	3	0	84.7%	79	81	79	81.68	3.2
50316	17	17	18	18	16	19	19	29	 	4	8	91.6%	95	97	68	83.23	3.3
50892	17	18	17	15	17	18	17	30	 	0	0	87.6%	88	90	78	84.26	3.4
50897	18	15	17	18	14	16	20	28	 	0	0	85.9%	92	94	78	84.35	3.4
50904	16	15	19	16	19	20	20	28	 	0	0	90.0%	82	84	71	81.20	3.1
50940	12	14	15	12	15	12	13	15	 	5	1	63.7%	45	47	62	59.69	1.4
51061	15	17	19	17	18	17	18	28	2	5	0	88.8%	66	68	49	68.73	2.1
51064	16	17	18	16	15	16	17	8	 	5	0	72.4%	88	90	69	74.54	2.6
51148	18	17	18	16	17	14	19	27	 	1	1	86.1%	95	97	84	87.43	3.7
51273	19	16	16	15	18	14	15	8	 	5	0	71.2%	46	48	67	64.87	1.8
51442	19	19	20	19	19	20	18	28	2	3	9	98.2%	91	93	90	93.89	4
52339	17	15	15	13	16	17	13	27	 	5	0	78.2%	32	34	55	60.09	1.4
52528	18	20	18	19	16	16	18	30	 	4	0	91.2%	95	97	76	86.27	3.6
52731	19	18	19	19	20	19	20	29	 	0	0	95.9%	93	95	83	90.55	3.9
52816	15	16	17	17	19	15	18	29	 	5	0	85.9%	81	83	72	79.75	3.0
53165	16	14	19	20	17	16	19	27	 	2	8	88.6%	83	85	73	81.65	3.2
53192	17	18	18	17	18	16	17	25	 	5	0	85.9%	94	96	80	85.55	3.5
53431	19	19	19	16	19	15	 	7	 	5	0	67.1%	70	72	63	66.42	1.9
53749	15	15	12	15	16	15	18	22	 	3	0	75.3%	63	65	63	68.32	2.1
53908	16	17	18	17	14	13	18	27	 	3	0	82.4%	96	98	71	80.94	3.1
53998	17	17	15	18	14	14	18	30	2	1	3	85.9%	76	78	78	81.15	3.1
54127	16	17	19	18	17	16	19	28	 	5	0	88.2%	84	86	80	84.49	3.4
54160	16	15	18	18	20	17	17	29	2	4	1	89.6%	76	78	67	78.24	2.9
54486	18	17	19	18	19	20	20	30	 	5	9	96.5%	76	78	81	86.59	3.6
54610	19	11	15	14	16	 	17	25	 	5	0	68.8%	86	88	63	70.33	2.2
54822	20	17	18	17	17	18	20	29	 	0	0	91.8%	76	78	73	81.51	3.2
54897	16	16	15	15	17	 	8	6	 	5	0	54.7%	64	66	58	58.28	1.3
54988	15	16	14	17	18	17	18	28	 	1	8	85.7%	86	88	65	77.87	2.9
55023	15	17	18	16	14	19	17	25	 	2	0	82.9%	79	81	77	80.18	3.1
55026	16	16	18	15	19	15	19	28	 	5	0	85.9%	94	96	74	83.15	3.3
55050	17	17	15	11	14	10	13	29	 	0	0	74.1%	99	100	89	85.25	3.5
55085	18	17	19	19	18	17	15	24	 	5	0	86.5%	78	80	87	85.39	3.5
55350	18	18	18	19	17	16	17	29	 	5	0	89.4%	63	65	85	82.76	3.3
55410	16	15	14	10	18	16	17	28	 	3	0	78.8%	63	65	62	69.33	2.2
55826	17	16	16	17	18	12	11	21	 	5	1	75.5%	69	71	60	68.40	2.1
55829	19	19	17	18	19	18	16	27	 	2	0	90.0%	89	91	79	85.80	3.5
56441	16	16	18	19	20	18	19	30	2	2	0	92.9%	91	93	81	88.18	3.7
56463	16	20	18	20	18	18	20	28	 	0	9	94.7%	71	73	67	79.28	3.0
56469	19	15	18	18	16	17	16	27	2	2	0	87.1%	71	73	79	81.02	3.1
56594	20	17	18	18	17	17	20	28	 	0	8	92.7%	88	90	80	87.10	3.7
56624	16	17	18	16	18	18	18	28	 	5	0	87.6%	57	59	66	73.26	2.5
56752	20	17	20	18	18	20	18	30	2	2	7	97.3%	93	95	69	85.50	3.5
56757	16	16	18	13	17	13	13	25	1	5	0	77.6%	87	89	86	83.26	3.3
56948	17	17	16	17	17	18	15	27	 	5	0	84.7%	88	90	76	82.28	3.2
57147	14	18	18	15	15	16	19	29	 	0	0	84.7%	82	84	77	81.48	3.2
57193	17	20	18	15	19	17	15	28	 	4	0	87.6%	77	79	64	76.46	2.7
57299	14	17	17	19	18	14	17	25	 	2	0	82.9%	76	78	73	77.98	2.9
57302	17	16	17	17	15	17	15	21	 	2	0	79.4%	59	61	60	67.96	2.1
57326	19	20	20	20	20	20	20	29	 	4	0	98.8%	97	99	80	91.33	3.9
57406	15	16	15	17	15	14	13	26	 	5	0	77.1%	77	79	67	73.42	2.5
57556	19	18	19	19	16	17	18	30	 	5	0	91.8%	95	97	80	88.11	3.7
57936	14	11	8	15	10	 	 	 	 	0	6	35.3%	47	49	 	23.92	0.0
58063	14	16	16	16	13	13	15	22	 	4	0	73.5%	57	59	59	64.81	1.8
58192	16	17	19	17	16	15	19	27	 	0	0	85.9%	87	89	84	85.75	3.5
58197	17	15	16	18	18	13	18	27	 	0	0	83.5%	86	88	75	81.01	3.1
58395	19	18	17	18	19	20	18	30	2	0	1	94.9%	95	97	94	94.96	4
58992	17	18	19	18	19	19	20	27	 	1	0	92.4%	66	68	74	80.14	3.0
59115	15	15	7	13	 	8	 	 	 	5	0	34.1%	64	66	46	45.25	0.0
59193	14	15	17	16	15	14	6	24	 	5	0	71.2%	40	42	60	60.87	1.5
59573	16	16	19	18	18	17	19	30	 	1	0	90.0%	95	97	74	85.00	3.4
59598	16	15	13	16	14	7	17	29	 	5	0	74.7%	85	87	70	75.28	2.7
59602	19	17	16	18	20	16	17	25	2	5	9	90.0%	81	83	73	81.80	3.2
60686	17	18	19	20	19	17	19	27	0	1	7	93.1%	99	100	80	89.25	3.8
60729	19	19	17	16	20	20	16	18	 	5	1	85.5%	67	69	82	80.80	3.1
62344	16	19	16	17	20	19	19	30	 	0	1	92.0%	83	85	83	86.98	3.7
62378	19	19	19	19	18	19	18	30	2	0	0	95.9%	89	91	84	90.15	3.9
62414	18	17	18	17	18	14	20	27	 	4	0	87.6%	85	87	82	85.26	3.5
62421	15	18	20	19	19	17	18	29	 	2	6	92.4%	71	73	79	83.14	3.3
62448	18	17	18	18	19	19	17	30	 	1	0	91.8%	100	100	92	93.51	4
62648	16	17	7	14	14	17	17	29	 	4	0	77.1%	84	86	79	79.62	3.0
62684	17	18	19	18	19	20	19	30	2	4	1	95.5%	100	100	93	95.40	4
62694	19	18	19	18	19	20	16	30	 	5	0	93.5%	86	88	89	90.61	3.9
62828	18	16	14	16	17	20	19	21	 	5	0	82.9%	50	52	63	68.78	2.1
62894	16	17	18	13	13	15	16	12	 	1	0	70.6%	63	65	57	64.04	1.7
63119	14	14	13	14	16	16	17	24	 	1	0	75.3%	59	61	68	69.52	2.2
63125	15	16	15	16	14	14	17	22	 	4	2	76.3%	67	69	73	73.51	2.5
63313	18	18	20	18	17	18	18	29	2	5	0	92.9%	92	94	67	82.78	3.3
63411	18	19	19	19	19	20	20	30	2	4	0	97.6%	99	100	89	94.66	4
63563	18	19	20	17	20	18	18	29	 	1	0	93.5%	96	98	73	86.21	3.6
63792	18	16	16	18	17	16	20	26	 	5	2	86.9%	92	94	69	81.15	3.1
64019	17	15	17	16	16	15	19	26	 	4	0	82.9%	72	74	65	73.98	2.5
64114	18	17	17	15	18	15	17	16	 	5	0	78.2%	64	66	57	67.29	2.0
64144	14	15	3	16	10	16	18	28	 	3	0	70.6%	68	70	72	71.04	2.3
64152	15	16	16	18	16	11	15	23	 	5	0	76.5%	88	90	75	78.59	2.9
64210	16	18	10	17	16	16	19	24	 	3	0	80.0%	75	77	92	84.20	3.4
64238	11	16	18	15	14	14	18	24	 	3	0	76.5%	80	82	66	73.39	2.5
64275	12	18	16	16	17	12	16	28	 	5	1	79.6%	78	80	81	80.24	3.1
64466	19	19	17	18	19	20	19	28	 	5	0	93.5%	70	72	54	73.41	2.5
64596	16	17	19	16	18	16	18	28	 	1	0	87.1%	84	86	76	82.42	3.2
64687	17	19	18	19	19	16	19	28	 	3	3	91.8%	73	75	79	83.31	3.3
65780	15	17	19	17	16	14	17	26	 	1	0	82.9%	70	72	71	75.98	2.7
66326	17	17	15	19	19	20	20	27	 	5	0	90.6%	92	94	75	85.04	3.4
66522	17	17	19	20	17	20	20	25	 	3	0	91.2%	89	91	87	89.47	3.8
66992	18	16	9	17	17	17	19	25	 	4	0	81.2%	66	68	68	73.27	2.5
67137	19	19	18	19	19	17	9	28	 	2	0	87.1%	94	96	84	87.62	3.7
67309	16	16	15	17	15	18	5	26	 	0	0	75.3%	85	87	66	73.92	2.5
67321	17	20	19	15	17	16	18	30	 	2	0	89.4%	93	95	78	85.96	3.5
67788	15	15	16	16	15	13	17	26	 	0	0	78.2%	84	86	51	68.89	2.1
68080	18	19	19	18	19	16	20	30	2	5	7	96.1%	84	86	73	84.83	3.4
68592	16	13	16	18	13	13	 	17	 	3	0	62.4%	52	54	60	59.74	1.4
68627	19	17	18	18	17	13	20	25	 	1	0	86.5%	87	89	84	85.99	3.6
69791	16	16	17	19	17	16	20	21	 	5	0	83.5%	66	68	70	75.01	2.6
69846	16	15	15	18	 	15	 	25	 	5	0	61.2%	43	45	33	46.67	0.0
70069	16	18	17	19	19	15	14	27	 	2	0	85.3%	85	87	70	79.52	3.0
70101	13	19	17	14	19	14	16	27	 	4	0	81.8%	82	84	76	79.91	3.0
70492	14	15	17	11	16	15	13	22	 	3	0	72.4%	67	69	59	66.34	1.9
71423	19	14	16	16	19	17	19	28	 	3	0	87.1%	97	99	92	91.42	3.9
71476	14	15	13	18	20	15	16	16	 	5	3	75.3%	79	81	64	71.92	2.4
71860	17	11	20	8	10	 	 	15	 	5	0	47.6%	87	89	73	66.06	1.9
71921	18	18	16	18	18	13	18	26	 	4	8	86.9%	98	100	84	88.35	3.7
71949	19	15	18	18	18	18	19	30	 	1	9	92.9%	85	87	71	82.98	3.3
72084	20	15	16	19	19	19	19	30	 	4	0	92.4%	83	85	79	85.54	3.5
72207	16	18	18	16	17	15	15	28	 	5	1	84.3%	87	89	78	82.73	3.3
72434	18	18	19	20	17	18	19	30	2	2	3	95.3%	80	82	91	90.92	3.9
72527	15	16	14	16	18	17	17	25	 	3	0	81.2%	92	94	87	86.07	3.6
72554	18	15	16	17	14	12	16	24	 	4	0	77.6%	63	65	75	74.06	2.6
72753	13	18	16	16	13	12	19	16	 	5	0	72.4%	61	63	76	71.94	2.4
72760	18	18	17	17	16	18	12	24	 	5	0	82.4%	69	71	68	74.34	2.6
72785	19	19	19	20	19	14	19	29	 	1	0	92.9%	82	84	78	85.18	3.5
73137	14	16	19	19	16	19	20	27	 	5	0	88.2%	69	71	61	73.89	2.5
73167	18	18	19	19	19	19	19	26	 	5	0	92.4%	91	93	80	87.54	3.7
73306	16	16	17	18	20	20	17	28	 	1	7	90.8%	86	88	90	89.91	3.9
73454	16	17	19	13	17	20	19	30	2	0	0	90.0%	100	100	91	92.40	4
73487	17	18	14	17	18	19	18	26	 	5	0	86.5%	56	58	77	76.99	2.8
73522	18	15	18	17	19	19	18	29	 	4	0	90.0%	74	76	76	81.60	3.2
74125	18	17	18	19	18	16	20	29	 	5	0	91.2%	86	88	87	88.87	3.8
74133	 	 	 	 	 	 	 	 	 	0	0	0.0%	 	 	 	0.00	0.0
74156	17	15	15	18	20	19	14	28	 	3	0	85.9%	75	77	77	80.55	3.1
74360	14	16	17	16	19	19	19	28	 	3	0	87.1%	64	66	71	76.42	2.7
74439	19	17	19	19	17	11	17	28	 	4	0	86.5%	66	68	68	75.39	2.7
74931	17	17	16	18	20	16	19	30	 	5	0	90.0%	69	71	78	81.40	3.1
75061	18	17	17	17	18	15	17	28	 	5	1	86.7%	78	80	70	78.67	2.9
75117	17	15	18	14	17	7	4	 	 	5	0	54.1%	80	82	58	61.25	1.5
75217	16	17	20	18	18	19	18	27	 	2	0	90.0%	68	70	76	80.40	3.1
75287	17	16	18	17	19	17	17	23	 	4	0	84.7%	91	93	82	85.28	3.5
75411	18	19	17	17	19	17	19	28	 	1	0	90.6%	93	95	84	88.84	3.8
75798	18	19	20	19	20	20	19	30	 	0	0	97.1%	97	99	82	91.42	3.9
76123	17	17	20	16	18	14	18	27	 	4	1	86.7%	48	50	74	74.27	2.6
76188	18	17	16	16	16	17	15	28	 	1	1	84.3%	50	52	66	70.53	2.3
76281	16	16	15	12	15	17	17	21	 	5	0	75.9%	72	74	64	70.75	2.3
76398	18	19	19	19	20	19	18	29	 	5	0	94.7%	96	98	81	89.88	3.9
76860	18	19	19	20	18	17	18	26	 	5	0	91.2%	81	83	80	85.07	3.4
76915	18	18	18	7	15	17	17	15	 	5	5	74.5%	64	66	57	65.80	1.9
77271	16	16	18	17	14	12	12	27	 	5	0	77.6%	88	90	70	77.06	2.8
77435	18	15	19	19	20	15	18	30	 	5	0	90.6%	78	80	54	73.84	2.5
77440	18	18	17	20	17	13	9	28	 	5	0	82.4%	67	69	75	76.74	2.8
77498	19	17	18	18	19	14	16	27	2	5	0	88.2%	74	76	73	79.69	3.0
77557	20	18	19	17	17	19	19	26	 	5	0	91.2%	64	66	56	72.07	2.4
77708	16	14	16	12	14	18	14	28	 	5	0	77.6%	50	52	65	67.46	2.0
77738	18	17	17	16	19	16	15	28	2	4	0	87.1%	89	91	71	81.42	3.2
77867	17	16	13	14	16	11	17	13	 	4	0	68.8%	66	68	54	62.73	1.6
77869	15	16	15	14	13	13	16	13	 	3	0	67.6%	49	51	60	61.26	1.5
78258	15	17	15	18	17	19	13	23	0	0	0	80.6%	77	79	78	79.24	3.0
78359	20	18	18	16	17	17	17	29	 	5	0	89.4%	83	85	58	75.96	2.7
78457	15	15	15	16	16	15	16	13	 	5	0	71.2%	70	72	44	60.47	1.4
78465	16	16	14	11	2	8	13	2	 	5	1	48.4%	57	59	73	60.37	1.4
78484	20	17	19	18	15	15	20	19	 	5	0	84.1%	70	72	42	64.85	1.8
78550	11	16	18	17	20	17	14	29	 	5	1	83.7%	63	65	72	75.29	2.7
78767	18	18	15	18	20	15	16	24	 	0	0	84.7%	76	78	73	78.68	2.9
78800	19	16	19	12	16	13	13	29	 	5	0	80.6%	89	91	74	80.04	3.0
79065	17	16	18	19	18	18	16	27	 	5	0	87.6%	80	82	80	83.46	3.3
79072	17	18	19	17	20	17	16	26	 	0	0	88.2%	90	92	87	88.49	3.8
79132	20	18	20	20	20	18	20	29	2	1	0	98.2%	78	80	88	90.49	3.9
79195	17	16	18	16	19	15	19	26	 	1	0	85.9%	82	84	78	82.35	3.2
79438	14	12	 	 	 	 	 	 	 	5	0	15.3%	 	 	 	6.12	0.0
79571	15	16	17	18	18	18	20	25	2	5	0	87.6%	89	91	76	83.66	3.3
79573	18	17	12	19	16	14	10	14	 	5	3	71.2%	69	71	60	66.67	2.0
79606	16	16	18	6	20	17	17	25	 	0	0	79.4%	69	71	74	75.56	2.7
79916	14	14	15	18	17	12	13	22	 	5	0	73.5%	75	77	71	73.21	2.5
79969	18	17	18	20	19	18	20	30	 	4	0	94.1%	97	99	77	88.25	3.7
79971	18	18	19	20	20	18	18	29	 	5	3	94.7%	74	76	83	86.28	3.6
79997	18	20	18	17	18	19	15	30	 	5	0	91.2%	87	89	79	85.87	3.5
80094	15	12	14	9	8	14	9	27	 	3	0	63.5%	64	66	58	61.81	1.6
80117	18	18	19	19	19	19	19	28	 	3	0	93.5%	91	93	86	90.41	3.9
80153	15	14	12	15	 	 	 	 	 	0	0	32.9%	 	 	 	13.18	0.0
80235	14	16	16	14	17	13	16	28	 	5	0	78.8%	67	69	65	71.33	2.3
80250	14	16	12	17	15	 	 	 	 	5	0	43.5%	36	38	 	25.01	0.0
80496	19	19	20	16	18	15	19	20	 	2	0	85.9%	79	81	70	78.55	2.9
80587	20	17	18	19	15	17	15	27	 	5	7	88.4%	78	80	68	78.57	2.9
80679	19	16	13	17	16	16	16	26	 	5	0	81.8%	63	65	56	68.11	2.1
80818	16	15	11	17	14	 	3	 	 	3	0	44.7%	72	74	45	50.68	0.7
80852	13	17	18	13	12	15	15	29	 	5	0	77.6%	84	86	75	78.26	2.9
80930	19	18	18	18	20	20	19	12	 	4	0	84.7%	81	83	76	80.88	3.1
81097	17	15	18	14	20	17	12	27	2	5	9	85.3%	90	92	79	84.12	3.4
81251	18	16	5	 	 	 	 	 	 	5	0	22.9%	27	29	 	14.98	0.0
81466	16	12	15	17	18	6	14	24	 	5	0	71.8%	74	76	64	69.51	2.2
81781	12	14	17	15	15	17	16	27	 	1	1	78.4%	94	96	73	79.77	3.0
81867	14	14	12	12	17	13	14	 	 	4	0	56.5%	62	64	 	35.39	0.0
81902	17	19	18	16	18	15	11	20	 	5	9	80.6%	70	72	67	73.44	2.5
