last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
3717	10	14	20	17	20	19	20	21	5	20	0.00	96.99%	87	87	91.00	3.7
8972	10	16	18	18	18	17	19	20	5	20	0.00	93.98%	95	86	90.99	3.7
4512	10	16	16	17	18	19	16	19	 	20	0.00	90.96%	97	88	90.99	3.7
6630	8	15	18	16	17	17	19	20	 	20	0.00	90.36%	92	91	90.94	3.7
2292	10	16	20	18	17	20	20	21	4	20	0.00	97.59%	97	81	90.84	3.6
2290	10	15	18	16	19	20	20	19	5	20	0.00	94.58%	99	83	90.83	3.6
7828	9	16	18	18	20	18	18	15	1	20	0.00	91.57%	93	89	90.83	3.6
7388	9	15	19	16	18	20	18	17	3	20	0.00	91.57%	95	88	90.83	3.6
3740	9	15	13	17	17	17	20	18	2	20	0.00	87.95%	100	89	90.78	3.6
4768	10	15	16	17	18	16	19	19	 	20	0.00	90.36%	93	90	90.74	3.6
7738	9	16	20	19	19	18	19	19	5	20	0.00	95.78%	92	85	90.71	3.6
8147	9	15	18	14	18	17	20	18	4	20	0.00	89.76%	94	90	90.70	3.6
8461	8	16	19	18	20	17	18	16	4	20	0.00	91.57%	98	86	90.63	3.6
4253	8	15	20	16	20	19	20	20	 	20	0.00	95.18%	88	87	90.47	3.6
3894	7	16	17	17	18	17	19	16	 	20	0.00	88.55%	91	92	90.42	3.6
4567	10	15	18	17	20	20	18	20	1	20	0.00	95.18%	97	82	90.27	3.6
1248	10	15	18	17	18	17	16	17	3	20	0.00	89.16%	93	90	90.26	3.6
4727	9	15	20	17	18	15	18	16	2	20	0.00	89.16%	93	90	90.26	3.6
0373	8	14	18	17	12	18	17	18	1	20	0.00	85.54%	96	92	90.22	3.6
5941	9	16	20	19	18	16	19	15	4	20	0.67	91.97%	97	85	90.19	3.6
3290	10	16	19	18	18	20	20	19	4	20	0.00	96.39%	94	82	90.15	3.6
0054	9	16	20	17	20	20	19	19	 	20	0.00	96.39%	86	86	90.15	3.6
0844	9	16	20	18	17	15	19	20	 	20	0.00	92.77%	99	83	90.11	3.6
6008	7	14	20	19	17	18	20	19	1	20	0.00	92.77%	93	86	90.11	3.6
2257	9	16	17	15	20	18	18	19	1	20	1.00	92.17%	92	87	90.07	3.6
8603	7	13	19	19	18	17	19	19	3	20	0.00	90.96%	88	90	89.99	3.6
0484	10	16	19	18	18	20	18	15	4	20	0.00	92.77%	86	89	89.91	3.6
3580	9	15	19	18	18	16	17	17	 	20	0.00	89.76%	88	91	89.90	3.6
6584	10	14	17	16	18	15	18	16	 	20	0.00	86.75%	92	92	89.90	3.6
2004	10	16	18	16	18	16	17	17	5	20	0.00	89.16%	99	86	89.86	3.6
3009	10	15	20	20	17	20	19	18	2	20	0.00	95.78%	91	83	89.71	3.5
9631	10	15	20	17	18	16	19	20	 	20	0.67	93.78%	93	84	89.71	3.5
5914	9	16	15	17	19	17	19	17	 	20	0.00	89.76%	93	88	89.70	3.5
4357	10	15	18	18	17	17	15	19	5	20	0.00	89.76%	101	84	89.70	3.5
8615	10	15	20	17	19	19	20	16	4	20	0.00	93.98%	96	82	89.59	3.5
9557	7	16	19	19	19	17	20	19	5	20	0.00	93.98%	92	84	89.59	3.5
8587	10	15	16	19	18	18	17	18	2	20	0.00	90.96%	90	88	89.59	3.5
4908	9	16	16	18	19	18	20	19	3	20	0.00	93.37%	93	84	89.55	3.5
0690	10	15	16	17	16	18	20	21	2	20	1.00	92.77%	92	85	89.51	3.5
7640	10	15	19	18	15	16	19	16	2	20	0.00	89.16%	95	87	89.46	3.5
3238	9	16	13	17	19	20	20	18	1	20	0.00	91.57%	88	88	89.43	3.5
7291	10	16	20	18	19	18	20	20	 	20	0.00	96.99%	91	81	89.40	3.5
3053	9	14	19	19	20	18	19	18	 	20	0.00	93.98%	87	86	89.39	3.5
0817	9	15	19	19	17	18	19	20	2	20	0.00	93.98%	95	82	89.39	3.5
6056	10	16	20	20	20	20	20	18	2	20	0.00	98.80%	91	79	89.32	3.5
2693	9	16	19	16	18	18	18	20	 	20	0.00	92.77%	95	83	89.31	3.5
5497	8	15	16	19	18	20	19	19	5	20	0.00	92.77%	89	86	89.31	3.5
5993	9	16	15	18	16	11	18	18	5	20	0.00	84.94%	98	89	89.18	3.5
7665	8	16	18	17	18	18	18	21	 	20	0.00	92.77%	92	84	89.11	3.5
0491	6	15	19	19	19	16	17	18	 	20	0.00	89.76%	84	91	89.10	3.5
5154	10	16	20	17	19	17	19	20	2	20	1.67	96.18%	87	83	89.07	3.5
